Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join,T_tokens_VOS
Hills J.R.; Gladney M.B.,FACTORS INFLUENCING COLLEGE GRADING STANDARDS,1968,5,"['FACTORS', 'influence', 'COLLEGE', 'GRADING', 'STANDARDS']","['factors', 'influence', 'college', 'grading', 'standards']",factors influence college grading standards,factors; influence; college; grading; standards
Rippey R.,PROBABILISTIC TESTING,1968,5,['PROBABILISTIC'],['probabilistic'],probabilistic,probabilistic
QUARTER J.J.; LAXER R.M.,SEX DIFFERENCES IN THE TAYLOR MANIFEST ANXIETY SCALE,1969,6,"['sex', 'difference', 'TAYLOR', 'MANIFEST', 'ANXIETY', 'SCALE']","['sex', 'difference', 'taylor', 'manifest', 'anxiety', 'scale']",sex difference taylor manifest anxiety scale,sex; difference; taylor; manifest; anxiety; scale
Smith R.B.,AN EMPIRICAL EXAMINATION OF THE ASSUMPTIONS UNDERLYING THE TAXONOMY OF EDUCATIONAL OBJECTIVES: COGNITIVE DOMAIN,1968,5,"['EMPIRICAL', 'examination', 'assumption', 'underlie', 'TAXONOMY', 'EDUCATIONAL', 'OBJECTIVES', 'cognitive', 'domain']","['empirical', 'examination', 'assumption', 'underlie', 'taxonomy', 'educational', 'objectives', 'cognitive', 'domain']",empirical examination assumption underlie taxonomy educational objectives cognitive domain,empirical; examination; assumption; underlie; taxonomy; educational; objectives; cognitive; domain
ABRAMSON T.,THE INFLUENCE OF EXAMINER RACE ON FIRST?êGRADE AND KINDERGARTEN SUBJECTS' PEABODY PICTURE VOCABULARY TEST SCORES,1969,6,"['INFLUENCE', 'EXAMINER', 'RACE', 'ON', 'FIRST?êGRADE', 'KINDERGARTEN', 'subjects', 'peabody', 'PICTURE', 'VOCABULARY', 'TEST', 'SCORES']","['influence', 'examiner', 'race', 'on', 'first-grade', 'kindergarten', 'subjects', 'peabody', 'picture', 'vocabulary', 'test', 'scores']",influence examiner race on first-grade kindergarten subjects peabody picture vocabulary test scores,influence; examiner; race; on; first-grade; kindergarten; subjects; peabody; picture; vocabulary; test; scores
SHOEMAKER D.M.,NOTE ON THE ATTENUATING EFFECT OF ZERO?êVARIANCE ITEMS ON KR??0,1969,6,"['note', 'attenuating', 'effect', 'zero-variance', 'items', 'ON', 'KR??0']","['note', 'attenuating', 'effect', 'zero-variance', 'items', 'on', 'kr??0']",note attenuating effect zero-variance items on kr??0,note; attenuating; effect; zero-variance; items; on; kr??0
FINCH C.R.,AN INSTRUMENT TO ASSESS STUDENT ATTITUDE TOWARD INSTRUCTION,1969,6,"['instrument', 'assess', 'student', 'attitude', 'INSTRUCTION']","['instrument', 'assess', 'student', 'attitude', 'instruction']",instrument assess student attitude instruction,instrument; assess; student; attitude; instruction
MARSHALL J.C.; POWERS J.M.,"WRITING NEATNESS, COMPOSITION ERRORS, AND ESSAY GRADES",1969,6,"['write', 'NEATNESS', 'COMPOSITION', 'ERRORS', 'essay', 'GRADES']","['write', 'neatness', 'composition', 'errors', 'essay', 'grades']",write neatness composition errors essay grades,write; neatness; composition; errors; essay; grades
Bormuth J.R.,CLOZE TEST READABILITY: CRITERION REFERENCE SCORES,1968,5,"['cloze', 'READABILITY', 'CRITERION', 'REFERENCE', 'SCORES']","['cloze', 'readability', 'criterion', 'reference', 'scores']",cloze readability criterion reference scores,cloze; readability; criterion; reference; scores
Raun J.R.; Asta P.,EFFECTS OF FAKING INSTRUCTIONS ON SALES MOTIVATION INVENTORY SCORES,1968,5,"['effect', 'fake', 'instruction', 'SALES', 'MOTIVATION', 'INVENTORY', 'SCORES']","['effect', 'fake', 'instruction', 'sales', 'motivation', 'inventory', 'scores']",effect fake instruction sales motivation inventory scores,effect; fake; instruction; sales; motivation; inventory; scores
Ryan J.J.,TEACHER JUDGMENTS OF TEST ITEM PROPERTIES,1968,5,"['teacher', 'judgment', 'ITEM', 'property']","['teacher', 'judgment', 'item', 'property']",teacher judgment item property,teacher; judgment; item; property
Hilton T.L.; Myers A.E.,"PERSONAL BACKGROUND, EXPERIENCE AND SCHOOL ACHIEVEMENT: AN INVESTIGATION OF THE CONTRIBUTION OF QUESTIONNAIRE DATA TO ACADEMIC PREDICTION",1967,4,"['personal', 'BACKGROUND', 'experience', 'SCHOOL', 'ACHIEVEMENT', 'AN', 'investigation', 'CONTRIBUTION', 'QUESTIONNAIRE', 'datum', 'ACADEMIC', 'prediction']","['personal', 'background', 'experience', 'school', 'achievement', 'an', 'investigation', 'contribution', 'questionnaire', 'datum', 'academic', 'prediction']",personal background experience school achievement an investigation contribution questionnaire datum academic prediction,personal; background; experience; school; achievement; an; investigation; contribution; questionnaire; datum; academic; prediction
ROCK D.A.; EVANS F.R.; KLEIN S.P.,PREDICTING MULTIPLE CRITERIA OF CREATIVE ACHIEVEMENTS WITH MODERATOR VARIABLES,1969,6,"['predict', 'MULTIPLE', 'CRITERIA', 'creative', 'achievement', 'moderator', 'VARIABLES']","['predict', 'multiple', 'criteria', 'creative', 'achievement', 'moderator', 'variables']",predict multiple criteria creative achievement moderator variables,predict; multiple; criteria; creative; achievement; moderator; variables
Brown F.G.; Scott D.A.,DIFFERENTIAL PREDICTABILITY IN COLLEGE ADMISSIONS TESTING,1967,4,"['DIFFERENTIAL', 'PREDICTABILITY', 'COLLEGE', 'ADMISSIONS', 'testing']","['differential', 'predictability', 'college', 'admissions', 'testing']",differential predictability college admissions testing,differential; predictability; college; admissions; testing
Uhl N.P.; Dayton C.M.,THE PREDICTION OF HIGH SCHOOL ACADEMIC PERFORMANCE USING VOCATIONAL INVENTORY SCORES,1968,5,"['prediction', 'high', 'SCHOOL', 'academic', 'performance', 'VOCATIONAL', 'INVENTORY', 'SCORES']","['prediction', 'high', 'school', 'academic', 'performance', 'vocational', 'inventory', 'scores']",prediction high school academic performance vocational inventory scores,prediction; high; school; academic; performance; vocational; inventory; scores
Cleary T.A.,TEST BIAS: PREDICTION OF GRADES OF NEGRO AND WHITE STUDENTS IN INTEGRATED COLLEGES,1968,5,"['TEST', 'BIAS', 'PREDICTION', 'GRADES', 'NEGRO', 'white', 'student', 'INTEGRATED', 'COLLEGES']","['test', 'bias', 'prediction', 'grades', 'negro', 'white', 'student', 'integrated', 'colleges']",test bias prediction grades negro white student integrated colleges,test; bias; prediction; grades; negro; white; student; integrated; colleges
Anastasiow NicholaSJ.; Hansen D.,LINGUISTIC READING TEST NUMBER II,1968,5,"['linguistic', 'read', 'NUMBER', 'II']","['linguistic', 'read', 'number', 'ii']",linguistic read number ii,linguistic; read; number; ii
ROBINSON L.; SELIGMAN R.,A SCALE FOR MEASURING CAMPUS MORALE,1969,6,"['scale', 'measure', 'campus', 'MORALE']","['scale', 'measure', 'campus', 'morale']",scale measure campus morale,scale; measure; campus; morale
HASTINGS J.T.,THE KITH AND KIN OF EDUCATIONAL MEASURERS,1969,6,"['KITH', 'KIN', 'EDUCATIONAL', 'measurer']","['kith', 'kin', 'educational', 'measurer']",kith kin educational measurer,kith; kin; educational; measurer
Severinsen K.N.,"A.C.T., W.A.I.S. TEST SCORES AND COLLEGE GRADES",1968,5,"['ACT', 'WAIS', 'SCORES', 'COLLEGE', 'GRADES']","['act', 'wais', 'scores', 'college', 'grades']",act wais scores college grades,act; wais; scores; college; grades
Hills J.R.; Gladney M.B.,PREDICTING GRADES FROM BELOW CHANCE TEST SCORES,1968,5,"['predict', 'GRADES', 'CHANCE', 'SCORES']","['predict', 'grades', 'chance', 'scores']",predict grades chance scores,predict; grades; chance; scores
Beggs D.L.; Hieronymus A.N.,UNIFORMITY OF GROWTH IN THE BASIC SKILLS THROUGHOUT THE SCHOOL YEAR AND DURING THE SUMMER,1968,5,"['UNIFORMITY', 'growth', 'basic', 'SKILLS', 'SCHOOL', 'year', 'SUMMER']","['uniformity', 'growth', 'basic', 'skills', 'school', 'year', 'summer']",uniformity growth basic skills school year summer,uniformity; growth; basic; skills; school; year; summer
SABERS D.L.; WHITE G.W.,THE EFFECT OF DIFFERENTIAL WEIGHTING OF INDIVIDUAL ITEM RESPONSES ON THE PREDICTIVE VALIDITY AND RELIABILITY OF AN APTITUDE TEST,1969,6,"['effect', 'DIFFERENTIAL', 'WEIGHTING', 'INDIVIDUAL', 'ITEM', 'response', 'predictive', 'VALIDITY', 'RELIABILITY', 'APTITUDE']","['effect', 'differential', 'weighting', 'individual', 'item', 'response', 'predictive', 'validity', 'reliability', 'aptitude']",effect differential weighting individual item response predictive validity reliability aptitude,effect; differential; weighting; individual; item; response; predictive; validity; reliability; aptitude
POE C.A.,CONVERGENT AND DISCRIMINANT VALIDATION OF MEASURES OF PERSONAL NEEDS,1969,6,"['convergent', 'DISCRIMINANT', 'validation', 'MEASURES', 'PERSONAL', 'NEEDS']","['convergent', 'discriminant', 'validation', 'measures', 'personal', 'needs']",convergent discriminant validation measures personal needs,convergent; discriminant; validation; measures; personal; needs
Klein S.P.; Hart F.M.,CHANCE AND SYSTEMATIC FACTORS AFFECTING ESSAY GRADES,1968,5,"['CHANCE', 'SYSTEMATIC', 'FACTORS', 'affect', 'ESSAY', 'GRADES']","['chance', 'systematic', 'factors', 'affect', 'essay', 'grades']",chance systematic factors affect essay grades,chance; systematic; factors; affect; essay; grades
Dick W.,A METHODOLOGY FOR THE FORMATIVE EVALUATION OF INSTRUCTIONAL MATERIALS,1968,5,"['methodology', 'formative', 'evaluation', 'instructional', 'material']","['methodology', 'formative', 'evaluation', 'instructional', 'material']",methodology formative evaluation instructional material,methodology; formative; evaluation; instructional; material
FERRIS M.J.; NICHOLS D.G.,THE EFFECTS OF FOUR METHODS OF ADMINISTRATION ON TEST ACHIEVEMENT,1969,6,"['effect', 'FOUR', 'METHODS', 'ADMINISTRATION', 'ON', 'ACHIEVEMENT']","['effect', 'four', 'methods', 'administration', 'on', 'achievement']",effect four methods administration on achievement,effect; four; methods; administration; on; achievement
Clark C.A.,THE USE OF SEPARATE ANSWER SHEETS IN TESTING SLOW?êLEARNING PUPILS,1968,5,"['separate', 'answer', 'sheets', 'testing', 'slow-learning', 'PUPILS']","['separate', 'answer', 'sheets', 'testing', 'slow-learning', 'pupils']",separate answer sheets testing slow-learning pupils,separate; answer; sheets; testing; slow-learning; pupils
Michael J.J.,THE RELIABILITY OF A MULTIPLE?êCHOICE EXAMINATION UNDER VARIOUS TEST?êTAKING INSTRUCTIONS,1968,5,"['RELIABILITY', 'multiple-choice', 'examination', 'test-taking', 'instruction']","['reliability', 'multiple-choice', 'examination', 'test-taking', 'instruction']",reliability multiple-choice examination test-taking instruction,reliability; multiple-choice; examination; test-taking; instruction
Terwilliger J.S.,INDIVIDUAL DIFFERENCES IN THE MARKING PRACTICES OF SECONDARY SCHOOL TEACHERS,1968,5,"['INDIVIDUAL', 'difference', 'MARKING', 'PRACTICES', 'SECONDARY', 'SCHOOL', 'teacher']","['individual', 'difference', 'marking', 'practices', 'secondary', 'school', 'teacher']",individual difference marking practices secondary school teacher,individual; difference; marking; practices; secondary; school; teacher
