Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_com,T_tokens_join,T_tokens_VOS
EAGLE N.; HARRIS A.S.,INTERACTION OF RACE AND TEST ON READING PERFORMANCE SCORES,1969,6,"['interaction', 'RACE', 'test', 'ON', 'read', 'PERFORMANCE', 'SCORES']","['interaction', 'race', 'test', 'on', 'read', 'performance', 'scores']","interaction, race, test, on, read, performance, scores",interaction race test on read performance scores,interaction; race; test; on; read; performance; scores
Traub R.E.,COMMENT ON GLASS'RESPONSE,1968,5,"['comment', 'glassresponse']","['comment', 'glassresponse']","comment, glassresponse",comment glassresponse,comment; glassresponse
Weigel R.G.; Frazier J.E.,THE EFFECTS OF “FEELING” AND “BEHAVIOR” INSTRUCTIONS ON RESPONSES TO THE EDWARDS PERSONAL PREFERENCE SCHEDULE,1968,5,"['effect', '""', 'feel', '""', '""', 'behavior', '""', 'instruction', 'response', 'EDWARDS', 'PERSONAL', 'preference', 'schedule']","['effect', '""', 'feel', '""', '""', 'behavior', '""', 'instruction', 'response', 'edwards', 'personal', 'preference', 'schedule']","effect, "", feel, "", "", behavior, "", instruction, response, edwards, personal, preference, schedule","effect "" feel "" "" behavior "" instruction response edwards personal preference schedule","effect; ""; feel; ""; ""; behavior; ""; instruction; response; edwards; personal; preference; schedule"
Thorndike R.L.,A VERIFICATION KEY FOR THE THORNDIKE DIMENSIONS OF TEMPERAMENT,1968,5,"['verification', 'key', 'thorndike', 'dimension', 'TEMPERAMENT']","['verification', 'key', 'thorndike', 'dimension', 'temperament']","verification, key, thorndike, dimension, temperament",verification key thorndike dimension temperament,verification; key; thorndike; dimension; temperament
Horn J.L.; Adams D.K.; Levy G.,ON THE CONCEPT VALIDITY OF MMPI SCALES,1968,5,"['CONCEPT', 'VALIDITY', 'MMPI', 'scale']","['concept', 'validity', 'mmpi', 'scale']","concept, validity, mmpi, scale",concept validity mmpi scale,concept; validity; mmpi; scale
Ebel R.L.,THE RELATION OF ITEM DISCRIMINATION TO TEST RELIABILITY,1967,4,"['RELATION', 'ITEM', 'discrimination', 'test', 'RELIABILITY']","['relation', 'item', 'discrimination', 'test', 'reliability']","relation, item, discrimination, test, reliability",relation item discrimination test reliability,relation; item; discrimination; test; reliability
Sabers D.L.; Feldt L.S.,AN EMPIRICAL STUDY OF THE EFFECT OF THE CORRECTION FOR CHANCE SUCCESS ON THE RELIABILITY AND VALIDITY OF AN APTITUDE TEST,1968,5,"['EMPIRICAL', 'study', 'effect', 'correction', 'CHANCE', 'SUCCESS', 'RELIABILITY', 'VALIDITY', 'APTITUDE', 'test']","['empirical', 'study', 'effect', 'correction', 'chance', 'success', 'reliability', 'validity', 'aptitude', 'test']","empirical, study, effect, correction, chance, success, reliability, validity, aptitude, test",empirical study effect correction chance success reliability validity aptitude test,empirical; study; effect; correction; chance; success; reliability; validity; aptitude; test
"Richards J.M., Jr; Lutz S.W.",PREDICTING STUDENT ACCOMPLISHMENT IN COLLEGE FROM THE ACT ASSESSMENT,1968,5,"['predict', 'student', 'accomplishment', 'COLLEGE', 'ACT', 'assessment']","['predict', 'student', 'accomplishment', 'college', 'act', 'assessment']","predict, student, accomplishment, college, act, assessment",predict student accomplishment college act assessment,predict; student; accomplishment; college; act; assessment
DUSEWICZ R.A.; KERSHNER K.M.,A SCALE FOR THE MEASUREMENT OF LATERAL DOMINANCE,1969,6,"['scale', 'lateral', 'dominance']","['scale', 'lateral', 'dominance']","scale, lateral, dominance",scale lateral dominance,scale; lateral; dominance
Wrightstone J.W.,HOW EFFECTIVE ARE THE “MORE EFFECTIVE SCHOOLS”?,1968,5,"['effective', '""', 'effective', 'SCHOOLS', '""']","['effective', '""', 'effective', 'schools', '""']","effective, "", effective, schools, ""","effective "" effective schools ""","effective; ""; effective; schools; """
FREMER J.; ANASTASIO E.J.,COMPUTER‐ASSISTED ITEM WRITING—1 (SPELLING ITEMS),1969,6,"['computer‐assiste', 'ITEM', 'WRITING—1', 'SPELLING', 'ITEMS']","['computer‐assiste', 'item', 'writing—1', 'spelling', 'items']","computer‐assiste, item, writing—1, spelling, items",computer‐assiste item writing—1 spelling items,computer‐assiste; item; writing—1; spelling; items
Cleary T.A.; Linn R.L.; Rock D.A.,REPRODUCTION OF TOTAL TEST SCORE THROUGH THE USE OF SEQUENTIAL PROGRAMMED TESTS,1968,5,"['reproduction', 'total', 'test', 'score', 'USE', 'SEQUENTIAL', 'PROGRAMMED', 'test']","['reproduction', 'total', 'test', 'score', 'use', 'sequential', 'programmed', 'test']","reproduction, total, test, score, use, sequential, programmed, test",reproduction total test score use sequential programmed test,reproduction; total; test; score; use; sequential; programmed; test
SIMON W.E.,EXPECTANCY EFFECTS IN THE SCORING OF VOCABULARY ITEMS: A STUDY OF SCORER BIAS,1969,6,"['expectancy', 'effect', 'scoring', 'VOCABULARY', 'items', 'study', 'SCORER', 'BIAS']","['expectancy', 'effect', 'scoring', 'vocabulary', 'items', 'study', 'scorer', 'bias']","expectancy, effect, scoring, vocabulary, items, study, scorer, bias",expectancy effect scoring vocabulary items study scorer bias,expectancy; effect; scoring; vocabulary; items; study; scorer; bias
INGLE R.B.; DEAMICO G.,THE EFFECT OF PHYSICAL CONDITIONS OF THE TEST ROOM ON STANDARDIZED ACHIEVEMENT TEST SCORES,1969,6,"['effect', 'physical', 'condition', 'test', 'room', 'standardized', 'ACHIEVEMENT', 'test', 'SCORES']","['effect', 'physical', 'condition', 'test', 'room', 'standardized', 'achievement', 'test', 'scores']","effect, physical, condition, test, room, standardized, achievement, test, scores",effect physical condition test room standardized achievement test scores,effect; physical; condition; test; room; standardized; achievement; test; scores
TERWILLIGER J.S.; ANDERSON D.H.,AN EMPIRICAL STUDY OF THE EFFECTS OF STANDARDIZING SCORES IN THE FORMATION OF LINEAR COMPOSITES,1969,6,"['EMPIRICAL', 'study', 'effect', 'STANDARDIZING', 'SCORES', 'formation', 'LINEAR', 'composite']","['empirical', 'study', 'effect', 'standardizing', 'scores', 'formation', 'linear', 'composite']","empirical, study, effect, standardizing, scores, formation, linear, composite",empirical study effect standardizing scores formation linear composite,empirical; study; effect; standardizing; scores; formation; linear; composite
Glass G.W.,RESPONSE TO TRAUB'S “NOTE ON THE RELIABILITY OF RESIDUAL CHANGE SCORES”,1968,5,"['RESPONSE', 'TRAUBS', '""', 'note', 'RELIABILITY', 'RESIDUAL', 'CHANGE', 'SCORES', '""']","['response', 'traubs', '""', 'note', 'reliability', 'residual', 'change', 'scores', '""']","response, traubs, "", note, reliability, residual, change, scores, ""","response traubs "" note reliability residual change scores ""","response; traubs; ""; note; reliability; residual; change; scores; """
Grotelueschen A.; Knox A.B.,ANALYSIS OF QUICK WORD TEST AS AN ESTIMATE OF ADULT MENTAL ABILITY,1967,4,"['analysis', 'QUICK', 'WORD', 'test', 'estimate', 'adult', 'MENTAL', 'ABILITY']","['analysis', 'quick', 'word', 'test', 'estimate', 'adult', 'mental', 'ability']","analysis, quick, word, test, estimate, adult, mental, ability",analysis quick word test estimate adult mental ability,analysis; quick; word; test; estimate; adult; mental; ability
YEE A.H.; KRIEWALL T.,A NEW LOGICAL SCORING KEY FOR THE MINNESOTA TEACHER ATTITUDE INVENTORY,1969,6,"['new', 'LOGICAL', 'scoring', 'key', 'minnesota', 'teacher', 'ATTITUDE', 'INVENTORY']","['new', 'logical', 'scoring', 'key', 'minnesota', 'teacher', 'attitude', 'inventory']","new, logical, scoring, key, minnesota, teacher, attitude, inventory",new logical scoring key minnesota teacher attitude inventory,new; logical; scoring; key; minnesota; teacher; attitude; inventory
Slakter M.J.,THE PENALTY FOR NOT GUESSING,1968,5,"['PENALTY', 'guess']","['penalty', 'guess']","penalty, guess",penalty guess,penalty; guess
Slakter M.J.,THE EFFECT OF GUESSING STRATEGY ON OBJECTIVE TEST SCORES,1968,5,"['effect', 'GUESSING', 'STRATEGY', 'ON', 'OBJECTIVE', 'test', 'SCORES']","['effect', 'guessing', 'strategy', 'on', 'objective', 'test', 'scores']","effect, guessing, strategy, on, objective, test, scores",effect guessing strategy on objective test scores,effect; guessing; strategy; on; objective; test; scores
STALLINGS W.M.; ANDERSON F.E.,SOME CHARACTERISTICS AND CORRELATES OF THE MEIER ART TEST OF AESTHETIC PERCEPTION UNDER TWO SYSTEMS OF SCORING,1969,6,"['CHARACTERISTICS', 'correlate', 'MEIER', 'ART', 'test', 'AESTHETIC', 'perception', 'systems', 'scoring']","['characteristics', 'correlate', 'meier', 'art', 'test', 'aesthetic', 'perception', 'systems', 'scoring']","characteristics, correlate, meier, art, test, aesthetic, perception, systems, scoring",characteristics correlate meier art test aesthetic perception systems scoring,characteristics; correlate; meier; art; test; aesthetic; perception; systems; scoring
LUNNEBORG C.E.; LUNNEBORG P.W.,DEVIATIONS FROM PREDICTED GROWTH OF ABILITIES FOR MALE AND FEMALE COLLEGE STUDENTS,1969,6,"['deviation', 'PREDICTED', 'growth', 'ability', 'MALE', 'FEMALE', 'COLLEGE', 'student']","['deviation', 'predicted', 'growth', 'ability', 'male', 'female', 'college', 'student']","deviation, predicted, growth, ability, male, female, college, student",deviation predicted growth ability male female college student,deviation; predicted; growth; ability; male; female; college; student
Khan S.B.,THE RELATIVE MAGNITUDE OF SPEED AND POWER IN SCAT,1968,5,"['RELATIVE', 'MAGNITUDE', 'speed', 'POWER', 'SCAT']","['relative', 'magnitude', 'speed', 'power', 'scat']","relative, magnitude, speed, power, scat",relative magnitude speed power scat,relative; magnitude; speed; power; scat
Perlberg A.,PREDICTING ACADEMIC ACHIEVEMENTS OF ENGINEERING AND SCIENCE COLLEGE STUDENTS,1967,4,"['predict', 'academic', 'achievement', 'engineering', 'SCIENCE', 'COLLEGE', 'student']","['predict', 'academic', 'achievement', 'engineering', 'science', 'college', 'student']","predict, academic, achievement, engineering, science, college, student",predict academic achievement engineering science college student,predict; academic; achievement; engineering; science; college; student
Bashaw W.L.,A NOTE ON CORRECTING ITEM‐TOTAL CORRELATIONS,1968,5,"['note', 'CORRECTING', 'item‐total', 'CORRELATIONS']","['note', 'correcting', 'item‐total', 'correlations']","note, correcting, item‐total, correlations",note correcting item‐total correlations,note; correcting; item‐total; correlations
Fremer J.; Coffman W.E.; Taylor P.H.,THE COLLEGE BOARD SCHOLASTIC APTITUDE TEST AS A PREDICTOR OF ACADEMIC ACHIEVEMENT IN SECONDARY SCHOOLS IN ENGLAND,1968,5,"['COLLEGE', 'board', 'SCHOLASTIC', 'APTITUDE', 'test', 'predictor', 'ACADEMIC', 'achievement', 'SECONDARY', 'SCHOOLS', 'ENGLAND']","['college', 'board', 'scholastic', 'aptitude', 'test', 'predictor', 'academic', 'achievement', 'secondary', 'schools', 'england']","college, board, scholastic, aptitude, test, predictor, academic, achievement, secondary, schools, england",college board scholastic aptitude test predictor academic achievement secondary schools england,college; board; scholastic; aptitude; test; predictor; academic; achievement; secondary; schools; england
Hills J.R.; Gladney M.B.,FACTORS INFLUENCING COLLEGE GRADING STANDARDS,1968,5,"['FACTORS', 'influence', 'COLLEGE', 'GRADING', 'STANDARDS']","['factors', 'influence', 'college', 'grading', 'standards']","factors, influence, college, grading, standards",factors influence college grading standards,factors; influence; college; grading; standards
Rippey R.,PROBABILISTIC TESTING,1968,5,"['PROBABILISTIC', 'test']","['probabilistic', 'test']","probabilistic, test",probabilistic test,probabilistic; test
QUARTER J.J.; LAXER R.M.,SEX DIFFERENCES IN THE TAYLOR MANIFEST ANXIETY SCALE,1969,6,"['sex', 'difference', 'TAYLOR', 'MANIFEST', 'ANXIETY', 'SCALE']","['sex', 'difference', 'taylor', 'manifest', 'anxiety', 'scale']","sex, difference, taylor, manifest, anxiety, scale",sex difference taylor manifest anxiety scale,sex; difference; taylor; manifest; anxiety; scale
Smith R.B.,AN EMPIRICAL EXAMINATION OF THE ASSUMPTIONS UNDERLYING THE TAXONOMY OF EDUCATIONAL OBJECTIVES: COGNITIVE DOMAIN,1968,5,"['EMPIRICAL', 'examination', 'assumption', 'underlie', 'TAXONOMY', 'EDUCATIONAL', 'OBJECTIVES', 'cognitive', 'domain']","['empirical', 'examination', 'assumption', 'underlie', 'taxonomy', 'educational', 'objectives', 'cognitive', 'domain']","empirical, examination, assumption, underlie, taxonomy, educational, objectives, cognitive, domain",empirical examination assumption underlie taxonomy educational objectives cognitive domain,empirical; examination; assumption; underlie; taxonomy; educational; objectives; cognitive; domain
ABRAMSON T.,THE INFLUENCE OF EXAMINER RACE ON FIRST‐GRADE AND KINDERGARTEN SUBJECTS' PEABODY PICTURE VOCABULARY TEST SCORES,1969,6,"['INFLUENCE', 'EXAMINER', 'RACE', 'ON', 'FIRST‐GRADE', 'KINDERGARTEN', 'subjects', 'peabody', 'PICTURE', 'VOCABULARY', 'TEST', 'SCORES']","['influence', 'examiner', 'race', 'on', 'first‐grade', 'kindergarten', 'subjects', 'peabody', 'picture', 'vocabulary', 'test', 'scores']","influence, examiner, race, on, first‐grade, kindergarten, subjects, peabody, picture, vocabulary, test, scores",influence examiner race on first‐grade kindergarten subjects peabody picture vocabulary test scores,influence; examiner; race; on; first‐grade; kindergarten; subjects; peabody; picture; vocabulary; test; scores
SHOEMAKER D.M.,NOTE ON THE ATTENUATING EFFECT OF ZERO‐VARIANCE ITEMS ON KR‐20,1969,6,"['note', 'attenuating', 'effect', 'zero‐variance', 'items', 'ON', 'KR‐20']","['note', 'attenuating', 'effect', 'zero‐variance', 'items', 'on', 'kr‐20']","note, attenuating, effect, zero‐variance, items, on, kr‐20",note attenuating effect zero‐variance items on kr‐20,note; attenuating; effect; zero‐variance; items; on; kr‐20
FINCH C.R.,AN INSTRUMENT TO ASSESS STUDENT ATTITUDE TOWARD INSTRUCTION,1969,6,"['instrument', 'assess', 'student', 'attitude', 'INSTRUCTION']","['instrument', 'assess', 'student', 'attitude', 'instruction']","instrument, assess, student, attitude, instruction",instrument assess student attitude instruction,instrument; assess; student; attitude; instruction
MARSHALL J.C.; POWERS J.M.,"WRITING NEATNESS, COMPOSITION ERRORS, AND ESSAY GRADES",1969,6,"['write', 'NEATNESS', 'COMPOSITION', 'ERRORS', 'essay', 'GRADES']","['write', 'neatness', 'composition', 'errors', 'essay', 'grades']","write, neatness, composition, errors, essay, grades",write neatness composition errors essay grades,write; neatness; composition; errors; essay; grades
Bormuth J.R.,CLOZE TEST READABILITY: CRITERION REFERENCE SCORES,1968,5,"['cloze', 'test', 'READABILITY', 'CRITERION', 'REFERENCE', 'SCORES']","['cloze', 'test', 'readability', 'criterion', 'reference', 'scores']","cloze, test, readability, criterion, reference, scores",cloze test readability criterion reference scores,cloze; test; readability; criterion; reference; scores
Raun J.R.; Asta P.,EFFECTS OF FAKING INSTRUCTIONS ON SALES MOTIVATION INVENTORY SCORES,1968,5,"['effect', 'fake', 'instruction', 'SALES', 'MOTIVATION', 'INVENTORY', 'SCORES']","['effect', 'fake', 'instruction', 'sales', 'motivation', 'inventory', 'scores']","effect, fake, instruction, sales, motivation, inventory, scores",effect fake instruction sales motivation inventory scores,effect; fake; instruction; sales; motivation; inventory; scores
Ryan J.J.,TEACHER JUDGMENTS OF TEST ITEM PROPERTIES,1968,5,"['teacher', 'judgment', 'test', 'ITEM', 'property']","['teacher', 'judgment', 'test', 'item', 'property']","teacher, judgment, test, item, property",teacher judgment test item property,teacher; judgment; test; item; property
Hilton T.L.; Myers A.E.,"PERSONAL BACKGROUND, EXPERIENCE AND SCHOOL ACHIEVEMENT: AN INVESTIGATION OF THE CONTRIBUTION OF QUESTIONNAIRE DATA TO ACADEMIC PREDICTION",1967,4,"['personal', 'BACKGROUND', 'experience', 'SCHOOL', 'ACHIEVEMENT', 'AN', 'investigation', 'CONTRIBUTION', 'QUESTIONNAIRE', 'datum', 'ACADEMIC', 'prediction']","['personal', 'background', 'experience', 'school', 'achievement', 'an', 'investigation', 'contribution', 'questionnaire', 'datum', 'academic', 'prediction']","personal, background, experience, school, achievement, an, investigation, contribution, questionnaire, datum, academic, prediction",personal background experience school achievement an investigation contribution questionnaire datum academic prediction,personal; background; experience; school; achievement; an; investigation; contribution; questionnaire; datum; academic; prediction
ROCK D.A.; EVANS F.R.; KLEIN S.P.,PREDICTING MULTIPLE CRITERIA OF CREATIVE ACHIEVEMENTS WITH MODERATOR VARIABLES,1969,6,"['predict', 'MULTIPLE', 'CRITERIA', 'creative', 'achievement', 'moderator', 'VARIABLES']","['predict', 'multiple', 'criteria', 'creative', 'achievement', 'moderator', 'variables']","predict, multiple, criteria, creative, achievement, moderator, variables",predict multiple criteria creative achievement moderator variables,predict; multiple; criteria; creative; achievement; moderator; variables
Brown F.G.; Scott D.A.,DIFFERENTIAL PREDICTABILITY IN COLLEGE ADMISSIONS TESTING,1967,4,"['DIFFERENTIAL', 'PREDICTABILITY', 'COLLEGE', 'ADMISSIONS', 'testing']","['differential', 'predictability', 'college', 'admissions', 'testing']","differential, predictability, college, admissions, testing",differential predictability college admissions testing,differential; predictability; college; admissions; testing
Uhl N.P.; Dayton C.M.,THE PREDICTION OF HIGH SCHOOL ACADEMIC PERFORMANCE USING VOCATIONAL INVENTORY SCORES,1968,5,"['prediction', 'high', 'SCHOOL', 'academic', 'performance', 'VOCATIONAL', 'INVENTORY', 'SCORES']","['prediction', 'high', 'school', 'academic', 'performance', 'vocational', 'inventory', 'scores']","prediction, high, school, academic, performance, vocational, inventory, scores",prediction high school academic performance vocational inventory scores,prediction; high; school; academic; performance; vocational; inventory; scores
Cleary T.A.,TEST BIAS: PREDICTION OF GRADES OF NEGRO AND WHITE STUDENTS IN INTEGRATED COLLEGES,1968,5,"['TEST', 'BIAS', 'PREDICTION', 'GRADES', 'NEGRO', 'white', 'student', 'INTEGRATED', 'COLLEGES']","['test', 'bias', 'prediction', 'grades', 'negro', 'white', 'student', 'integrated', 'colleges']","test, bias, prediction, grades, negro, white, student, integrated, colleges",test bias prediction grades negro white student integrated colleges,test; bias; prediction; grades; negro; white; student; integrated; colleges
Anastasiow NicholaSJ.; Hansen D.,LINGUISTIC READING TEST NUMBER II,1968,5,"['linguistic', 'read', 'test', 'NUMBER', 'II']","['linguistic', 'read', 'test', 'number', 'ii']","linguistic, read, test, number, ii",linguistic read test number ii,linguistic; read; test; number; ii
ROBINSON L.; SELIGMAN R.,A SCALE FOR MEASURING CAMPUS MORALE,1969,6,"['scale', 'measure', 'campus', 'MORALE']","['scale', 'measure', 'campus', 'morale']","scale, measure, campus, morale",scale measure campus morale,scale; measure; campus; morale
HASTINGS J.T.,THE KITH AND KIN OF EDUCATIONAL MEASURERS,1969,6,"['KITH', 'KIN', 'EDUCATIONAL', 'measurer']","['kith', 'kin', 'educational', 'measurer']","kith, kin, educational, measurer",kith kin educational measurer,kith; kin; educational; measurer
Severinsen K.N.,"A.C.T., W.A.I.S. TEST SCORES AND COLLEGE GRADES",1968,5,"['ACT', 'WAIS', 'test', 'SCORES', 'COLLEGE', 'GRADES']","['act', 'wais', 'test', 'scores', 'college', 'grades']","act, wais, test, scores, college, grades",act wais test scores college grades,act; wais; test; scores; college; grades
Hills J.R.; Gladney M.B.,PREDICTING GRADES FROM BELOW CHANCE TEST SCORES,1968,5,"['predict', 'GRADES', 'CHANCE', 'test', 'SCORES']","['predict', 'grades', 'chance', 'test', 'scores']","predict, grades, chance, test, scores",predict grades chance test scores,predict; grades; chance; test; scores
Beggs D.L.; Hieronymus A.N.,UNIFORMITY OF GROWTH IN THE BASIC SKILLS THROUGHOUT THE SCHOOL YEAR AND DURING THE SUMMER,1968,5,"['UNIFORMITY', 'growth', 'basic', 'SKILLS', 'SCHOOL', 'year', 'SUMMER']","['uniformity', 'growth', 'basic', 'skills', 'school', 'year', 'summer']","uniformity, growth, basic, skills, school, year, summer",uniformity growth basic skills school year summer,uniformity; growth; basic; skills; school; year; summer
