"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"SLINDE J.A.; LINN R.L.","SLINDE, JEFFREY A. (6507638009); LINN, ROBERT L. (56126633100)","6507638009; 56126633100","VERTICALLY EQUATED TESTS: FACT OR PHANTOM?","1977","Journal of Educational Measurement","14","1","","23","32","9","28","10.1111/j.1745-3984.1977.tb00025.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988097889&doi=10.1111%2fj.1745-3984.1977.tb00025.x&partnerID=40&md5=655d68b2575893bd9969d3d954763147","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84988097889"
"LORD F.M.","LORD, FREDERIC M. (16463899300)","16463899300","OPTIMAL NUMBER OF CHOICES PER ITEM— A COMPARISON OF FOUR APPROACHES","1977","Journal of Educational Measurement","14","1","","33","38","5","63","10.1111/j.1745-3984.1977.tb00026.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003076945&doi=10.1111%2fj.1745-3984.1977.tb00026.x&partnerID=40&md5=2c4814526702f1dae40892d69c45fc3f","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0003076945"
"HALADYNA T.; THOMAS G.","HALADYNA, TOM (6602737797); THOMAS, GREGORY (57032746100)","6602737797; 57032746100","THE AFFECTIVE REPORTING SYSTEM","1979","Journal of Educational Measurement","16","1","","49","54","5","6","10.1111/j.1745-3984.1979.tb00086.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049092665&doi=10.1111%2fj.1745-3984.1979.tb00086.x&partnerID=40&md5=39b3bd1aab62902a08dc458572be931d","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-68049092665"
"MARCO G.L.","MARCO, GARY L. (57065132200)","57065132200","ITEM CHARACTERISTIC CURVE SOLUTIONS TO THREE INTRACTABLE TESTING PROBLEMS","1977","Journal of Educational Measurement","14","2","","139","160","21","159","10.1111/j.1745-3984.1977.tb00033.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000208012&doi=10.1111%2fj.1745-3984.1977.tb00033.x&partnerID=40&md5=7be0caff44276df8d100c5e6843446c8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0000208012"
"KANE M.T.; GILLMORE G.M.; CROOKS T.J.","KANE, MICHAEL T. (36088969800); GILLMORE, GERALD M. (6701577870); CROOKS, TERENCE J. (6602188516)","36088969800; 6701577870; 6602188516","STUDENT EVALUATIONS OF TEACHING: THE GENERALIZABILITY OF CLASS MEANS","1976","Journal of Educational Measurement","13","3","","171","183","12","59","10.1111/j.1745-3984.1976.tb00009.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973772933&doi=10.1111%2fj.1745-3984.1976.tb00009.x&partnerID=40&md5=e921583ecfab540cef625368b6f3f7bf","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973772933"
"RESCHLY D.J.; SABERS D.L.","RESCHLY, DANIEL J. (6603752181); SABERS, DARRELL L. (6701710722)","6603752181; 6701710722","ANALYSIS OF TEST BIAS IN FOUR GROUPS WITH THE REGRESSION DEFINITION","1979","Journal of Educational Measurement","16","1","","1","9","8","30","10.1111/j.1745-3984.1979.tb00080.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0002542999&doi=10.1111%2fj.1745-3984.1979.tb00080.x&partnerID=40&md5=de6a7c1a83ff096a0b34dc4e5b514fdb","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0002542999"
"OOSTERHOF A.C.","OOSTERHOF, ALBERT C. (55599016200)","55599016200","SIMILARITY OF VARIOUS ITEM DISCRIMINATION INDICES","1976","Journal of Educational Measurement","13","2","","145","150","5","20","10.1111/j.1745-3984.1976.tb00005.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973835914&doi=10.1111%2fj.1745-3984.1976.tb00005.x&partnerID=40&md5=c73182786c92fa07e9fdcf259522e07d","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973835914"
"HUMPHREYS L.G.; STUBBS J.","HUMPHREYS, LLOYD G. (56238275200); STUBBS, JUNE (57195042058)","56238275200; 57195042058","A LONGITUDINAL ANALYSIS OF TEACHER EXPECTATION, STUDENT EXPECTATION, AND STUDENT ACHIEVEMENT","1977","Journal of Educational Measurement","14","3","","261","270","9","12","10.1111/j.1745-3984.1977.tb00043.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346500354&doi=10.1111%2fj.1745-3984.1977.tb00043.x&partnerID=40&md5=3436c6dd5602abf556e57c0f802de2bd","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0346500354"
"LEWIS W.A.; DEXTER H.G.; SMITH W.C.","LEWIS, WILLIAM A. (35525954600); DEXTER, H. GENE (57195042048); SMITH, WILLIAM C. (57213781495)","35525954600; 57195042048; 57213781495","GRADING PROCEDURES AND TEST VALIDATION: A PROPOSED NEW APPROACH","1978","Journal of Educational Measurement","15","3","","219","227","8","2","10.1111/j.1745-3984.1978.tb00071.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965588444&doi=10.1111%2fj.1745-3984.1978.tb00071.x&partnerID=40&md5=f48708c626e7f78c7ccb2324a024309e","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84965588444"
"WRIGHT B.D.","WRIGHT, BENJAMIN D. (7402346612)","7402346612","MISUNDERSTANDING THE RASCH MODEL","1977","Journal of Educational Measurement","14","3","","219","225","6","44","10.1111/j.1745-3984.1977.tb00039.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991440035&doi=10.1111%2fj.1745-3984.1977.tb00039.x&partnerID=40&md5=560cd69ac61aa1b5afdf2728893faa13","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84991440035"
"OLSON M.A.","OLSON, MARGOT A. (25030907500)","25030907500","AN APPLICATION OF MATRIX SAMPLING TO THE METHOD OF PAIR COMPARISONS","1978","Journal of Educational Measurement","15","1","","49","52","3","7","10.1111/j.1745-3984.1978.tb00056.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914774346&doi=10.1111%2fj.1745-3984.1978.tb00056.x&partnerID=40&md5=ef08ffd5c0fa9164e3ce2aeece6c55b8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84914774346"
"SCHMEISER C.B.; FERGUSON R.L.","SCHMEISER, CYNTHIA B. (55607334700); FERGUSON, RICHARD L. (57189188682)","55607334700; 57189188682","PERFORMANCE OF BLACK AND WHITE STUDENTS ON TEST MATERIALS CONTAINING CONTENT BASED ON BLACK AND WHITE CULTURES","1978","Journal of Educational Measurement","15","3","","193","200","7","12","10.1111/j.1745-3984.1978.tb00068.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988098573&doi=10.1111%2fj.1745-3984.1978.tb00068.x&partnerID=40&md5=0496dd2f2d47afe8506720ae6fe3a3f2","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84988098573"
"STRANG H.R.","STRANG, HAROLD R. (6603236345)","6603236345","THE EFFECTS OF TECHNICAL AND UNFAMILIAR OPTIONS ON GUESSING ON MULTIPLE‐CHOICE TEST ITEMS","1977","Journal of Educational Measurement","14","3","","253","260","7","5","10.1111/j.1745-3984.1977.tb00042.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966052034&doi=10.1111%2fj.1745-3984.1977.tb00042.x&partnerID=40&md5=29bae0a8f7ba8d62a360dd709959e3ad","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84966052034"
"LORD F.M.","LORD, FREDERIC M. (16463899300)","16463899300","PRACTICAL APPLICATIONS OF ITEM CHARACTERISTIC CURVE THEORY","1977","Journal of Educational Measurement","14","2","","117","138","21","114","10.1111/j.1745-3984.1977.tb00032.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040590134&doi=10.1111%2fj.1745-3984.1977.tb00032.x&partnerID=40&md5=7e3c96121d342814dc17991fe79355a7","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0040590134"
"SMITH M., III; WHITE K.P.; COOP R.H.","SMITH, MALBERT (56410183300); WHITE, KINNARD P. (56207164200); COOP, RICHARD H. (25953855900)","56410183300; 56207164200; 25953855900","THE EFFECT OF ITEM TYPE ON THE CONSEQUENCES OF CHANGING ANSWERS ON MULTIPLE CHOICE TESTS","1979","Journal of Educational Measurement","16","3","","203","208","5","19","10.1111/j.1745-3984.1979.tb00102.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017259026&doi=10.1111%2fj.1745-3984.1979.tb00102.x&partnerID=40&md5=4ef79bf0525822a502c3f0b1b0533aa2","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85017259026"
"ROGERS W.T.; FOLSOM R.E., JR.; KALSBEEK W.D.; CLEMMER A.F.","ROGERS, W. TODD (7402345065); FOLSOM, RALPH E. (7003688226); KALSBEEK, WILLIAM D. (7003554261); CLEMMER, ANNE F. (57195043689)","7402345065; 7003688226; 7003554261; 57195043689","ASSESSMENT OF NONRESPONSE BIAS IN SAMPLE SURVEYS. AN EXAMPLE FROM NATIONAL ASSESSMENT","1977","Journal of Educational Measurement","14","4","","297","311","14","3","10.1111/j.1745-3984.1977.tb00046.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983938840&doi=10.1111%2fj.1745-3984.1977.tb00046.x&partnerID=40&md5=07df62de61dfd39a484d5f1bfb947eef","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84983938840"
"LINN M.C.; RICE M.","LINN, MARCIA C. (7006538185); RICE, MARIAN (57190903282)","7006538185; 57190903282","A MEASURE OF SCIENTIFIC REASONING: THE SPRINGS TASK","1979","Journal of Educational Measurement","16","1","","55","58","3","12","10.1111/j.1745-3984.1979.tb00087.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960677036&doi=10.1111%2fj.1745-3984.1979.tb00087.x&partnerID=40&md5=4c0e61d91d8517f845fd66ddaa3f015c","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84960677036"
"POPHAM W.J.","POPHAM, W. JAMES (6701761956)","6701761956","AS ALWAYS, PROVOCATIVE","1978","Journal of Educational Measurement","15","4","","297","300","3","36","10.1111/j.1745-3984.1978.tb00077.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347337263&doi=10.1111%2fj.1745-3984.1978.tb00077.x&partnerID=40&md5=b8374f8174e134e37045e924ac63a1e5","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0347337263"
"BRELAND H.M.; GAYNOR J.L.","BRELAND, HUNTER M. (6506538277); GAYNOR, JUDITH L. (57195040255)","6506538277; 57195040255","A COMPARISON OF DIRECT AND INDIRECT ASSESSMENTS OF WRITING SKILL","1979","Journal of Educational Measurement","16","2","","119","128","9","47","10.1111/j.1745-3984.1979.tb00093.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973852466&doi=10.1111%2fj.1745-3984.1979.tb00093.x&partnerID=40&md5=1a3428c3e8f7189eda9a85e24ae5f06b","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973852466"
"LEVIN H.M.","LEVIN, HENRY M. (57209708561)","57209708561","EDUCATIONAL PERFORMANCE STANDARDS: IMAGE OR SUBSTANCE?","1978","Journal of Educational Measurement","15","4","","309","319","10","10","10.1111/j.1745-3984.1978.tb00079.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973774407&doi=10.1111%2fj.1745-3984.1978.tb00079.x&partnerID=40&md5=a6b2efdd6695edaf0ff52288a0261d4a","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973774407"
"SUBKOVIAK M.J.","SUBKOVIAK, MICHAEL J. (6506489478)","6506489478","EMPIRICAL INVESTIGATION OF PROCEDURES FOR ESTIMATING RELIABILITY FOR MASTERY TESTS","1978","Journal of Educational Measurement","15","2","","111","116","5","25","10.1111/j.1745-3984.1978.tb00062.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988089275&doi=10.1111%2fj.1745-3984.1978.tb00062.x&partnerID=40&md5=8425eb9caa038ae8d301287fe82e09d8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84988089275"
"WOOD R.","WOOD, ROBERT (56936262800)","56936262800","INHIBITING BLIND GUESSING: THE EFFECT OF INSTRUCTIONS","1976","Journal of Educational Measurement","13","4","","297","307","10","7","10.1111/j.1745-3984.1976.tb00020.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988078978&doi=10.1111%2fj.1745-3984.1976.tb00020.x&partnerID=40&md5=ce2043acbaa5832660be57ca57e5f7be","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84988078978"
"GLASS G.V.","GLASS, GENE V (10939588000)","10939588000","STANDARDS AND CRITERIA","1978","Journal of Educational Measurement","15","4","","237","261","24","193","10.1111/j.1745-3984.1978.tb00072.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963348047&doi=10.1111%2fj.1745-3984.1978.tb00072.x&partnerID=40&md5=d5920ebd228016e7b641b8e03c1aaf01","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84963348047"
"ERLICH O.; SHAVELSON R.J.","ERLICH, ODED (6506667871); SHAVELSON, RICHARD J. (35613093400)","6506667871; 35613093400","THE SEARCH FOR CORRELATIONS BETWEEN MEASURES OF TEACHER BEHAVIOR AND STUDENT ACHIEVEMENT: MEASUREMENT PROBLEM, CONCEPTUALIZATION PROBLEM, OR BOTH?","1978","Journal of Educational Measurement","15","2","","77","89","12","23","10.1111/j.1745-3984.1978.tb00059.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973786069&doi=10.1111%2fj.1745-3984.1978.tb00059.x&partnerID=40&md5=2f897e3fa7310f497ec55e4b658a4b2d","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973786069"
"URRY V.W.","URRY, VERN W. (25953701700)","25953701700","TAILORED TESTING: A SUCCESSFUL APPLICATION OF LATENT TRAIT THEORY","1977","Journal of Educational Measurement","14","2","","181","196","15","62","10.1111/j.1745-3984.1977.tb00035.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973082107&doi=10.1111%2fj.1745-3984.1977.tb00035.x&partnerID=40&md5=682c4e5e597f896c2d72032993cd2e20","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973082107"
"CHASE C.I.","CHASE, CLINTON I. (7102500238)","7102500238","THE IMPACT OF ACHIEVEMENT EXPECTATIONS AND HANDWRITING QUALITY ON SCORING ESSAY TESTS","1979","Journal of Educational Measurement","16","1","","39","42","3","18","10.1111/j.1745-3984.1979.tb00084.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38749136388&doi=10.1111%2fj.1745-3984.1979.tb00084.x&partnerID=40&md5=6dc5e77a876ade6b6677e264240210c0","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-38749136388"
"REMER R.","REMER, RORY (6603023365)","6603023365","THREE MODES OF STIMULUS PRESENTATION IN A SIMULATION TEST OF INTERPERSONAL COMMUNICATION COMPETENCE","1978","Journal of Educational Measurement","15","2","","125","130","5","4","10.1111/j.1745-3984.1978.tb00064.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925916564&doi=10.1111%2fj.1745-3984.1978.tb00064.x&partnerID=40&md5=96733fb7d9038a5c2d3b484833fff4b8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84925916564"
"IRONSON G.H.; SUBKOVIAK M.J.","IRONSON, GAIL H. (7006098861); SUBKOVIAK, MICHAEL J. (6506489478)","7006098861; 6506489478","A COMPARISON OF SEVERAL METHODS OF ASSESSING ITEM BIAS","1979","Journal of Educational Measurement","16","4","","209","225","16","55","10.1111/j.1745-3984.1979.tb00103.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988070444&doi=10.1111%2fj.1745-3984.1979.tb00103.x&partnerID=40&md5=dc681f41dfeb5d1fba460f863866ef12","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84988070444"
"LOMAX R.G.; ALGINA J.","LOMAX, RICHARD G. (7005102434); ALGINA, JAMES (7003768166)","7005102434; 7003768166","COMPARISON OF TWO PROCEDURES FOR ANALYZING MULTITRAIT MULTIMETHOD MATRICES","1979","Journal of Educational Measurement","16","3","","177","186","9","10","10.1111/j.1745-3984.1979.tb00099.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953095205&doi=10.1111%2fj.1745-3984.1979.tb00099.x&partnerID=40&md5=dd12f2dbd617fd92b72cc542429342bb","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84953095205"
"PREDIGER D.J.; HANSON G.R.","PREDIGER, DALE J. (6602111339); HANSON, GARY R. (23030885800)","6602111339; 23030885800","SOME CONSEQUENCES OF USING RAW‐SCORE REPORTS OF VOCATIONAL INTERESTS","1977","Journal of Educational Measurement","14","4","","323","333","10","8","10.1111/j.1745-3984.1977.tb00048.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958082085&doi=10.1111%2fj.1745-3984.1977.tb00048.x&partnerID=40&md5=dfd1c30063dbad2af54377ddc892dc48","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-79958082085"
"HAMBLETON R.K.; COOK L.L.","HAMBLETON, RONALD K. (7006242264); COOK, LINDA L. (57220707796)","7006242264; 57220707796","LATENT TRAIT MODELS AND THEIR USE IN THE ANALYSIS OF EDUCATIONAL TEST DATA","1977","Journal of Educational Measurement","14","2","","75","96","21","98","10.1111/j.1745-3984.1977.tb00030.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973723789&doi=10.1111%2fj.1745-3984.1977.tb00030.x&partnerID=40&md5=baaee805c32c6c7f935aba85f03a8abd","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973723789"
"FRISBIE D.A.; BRANDENBURG D.C.","FRISBIE, DAVID A. (7003704007); BRANDENBURG, DALE C. (16462293700)","7003704007; 16462293700","EQUIVALENCE OF QUESTIONNAIRE ITEMS WITH VARYING RESPONSE FORMATS","1979","Journal of Educational Measurement","16","1","","43","48","5","23","10.1111/j.1745-3984.1979.tb00085.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007918921&doi=10.1111%2fj.1745-3984.1979.tb00085.x&partnerID=40&md5=caec2044e03978e59222a3201308d45f","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-0007918921"
"DIAMOND J.J.; AYRER J.; FISHMAN R.; GREEN P.","DIAMOND, JAMES J. (57018442400); AYRER, JAMES (57195042854); FISHMAN, ROGER (57191935430); GREEN, PAUL (57195041041)","57018442400; 57195042854; 57191935430; 57195041041","ARE INNER CITY CHILDREN TEST‐WISE?","1977","Journal of Educational Measurement","14","1","","39","45","6","6","10.1111/j.1745-3984.1977.tb00027.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973816835&doi=10.1111%2fj.1745-3984.1977.tb00027.x&partnerID=40&md5=001612b6a967833466e6423d48a2e565","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-84973816835"
