Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
Wilcox R.R.,Confidence Intervals for True Scores Under an Answer‐Until‐Correct Scoring Procedure,1987,24,"['confidence', 'Intervals', 'True', 'Scores', 'answer‐until‐correct', 'Scoring', 'Procedure']","['confidence', 'intervals', 'true', 'scores', 'answer‐until‐correct', 'scoring', 'procedure']",confidence intervals true scores answer‐until‐correct scoring procedure
Sehmitt A.P.,Language and Cultural Characteristics That Explain Differential Item Functioning for Hispanic Examinees on the Scholastic Aptitude Test,1988,25,"['language', 'Cultural', 'Characteristics', 'explain', 'Differential', 'Item', 'Functioning', 'Hispanic', 'Examinees', 'Scholastic', 'Aptitude', 'Test']","['language', 'cultural', 'characteristics', 'explain', 'differential', 'item', 'functioning', 'hispanic', 'examinees', 'scholastic', 'aptitude', 'test']",language cultural characteristics explain differential item functioning hispanic examinees scholastic aptitude test
I‐leaning G.,Does the Rasch Model Really Work for Multiple‐Choice Items? Take Another Look: A Response to Divgi,1989,26,"['Rasch', 'Really', 'work', 'Multiple‐Choice', 'Items', 'look', 'response', 'Divgi']","['rasch', 'really', 'work', 'multiple‐choice', 'items', 'look', 'response', 'divgi']",rasch really work multiple‐choice items look response divgi
Stanley J.C.,Note About Possible Bias Resulting When Under‐Statisticized Studies are Excluded from Meta‐Analyses,1987,24,"['note', 'Possible', 'Bias', 'result', 'under‐statisticized', 'study', 'exclude', 'meta‐analyse']","['note', 'possible', 'bias', 'result', 'under‐statisticized', 'study', 'exclude', 'meta‐analyse']",note possible bias result under‐statisticized study exclude meta‐analyse
Kolen M.J.,Defining Score Scales in Relation to Measurement Error,1988,25,"['define', 'score', 'Scales', 'Relation', 'Error']","['define', 'score', 'scales', 'relation', 'error']",define score scales relation error
Smith R.L.; Smith J.K.,Differential Use of Item Information by Judges Using Angoff and Nedeisky Procedures,1988,25,"['differential', 'Use', 'Item', 'Information', 'judge', 'Angoff', 'Nedeisky', 'procedure']","['differential', 'use', 'item', 'information', 'judge', 'angoff', 'nedeisky', 'procedure']",differential use item information judge angoff nedeisky procedure
Rowley G.L.,Assessing Error in Behavioral Data: Problems of Sequencing,1989,26,"['assess', 'Error', 'Behavioral', 'Data', 'Problems', 'sequence']","['assess', 'error', 'behavioral', 'data', 'problems', 'sequence']",assess error behavioral data problems sequence
Millman J.; Westman R.S.,Computer‐Assisted Writing of Achievement Test Items: Toward a Future Technology,1989,26,"['computer‐assiste', 'writing', 'Achievement', 'Test', 'Items', 'Future', 'Technology']","['computer‐assiste', 'writing', 'achievement', 'test', 'items', 'future', 'technology']",computer‐assiste writing achievement test items future technology
McMorris R.F.; DeMers L.P.; Schwarz S.P.,"Attitudes, Behaviors, and Reasons for Changing Responses Following Answer‐Changing Instruction",1987,24,"['Attitudes', 'Behaviors', 'Reasons', 'change', 'response', 'follow', 'Answer‐Changing', 'instruction']","['attitudes', 'behaviors', 'reasons', 'change', 'response', 'follow', 'answer‐changing', 'instruction']",attitudes behaviors reasons change response follow answer‐changing instruction
Baglin R.F.,Group Scores: A Rejoinder to Burket,1988,25,"['Group', 'Scores', 'A', 'rejoinder', 'Burket']","['group', 'scores', 'a', 'rejoinder', 'burket']",group scores a rejoinder burket
BAGLIN R.F.,A PROBLEM IN CALCULATING GROUP SCORES ON NORM‐REFERENCED TESTS,1986,23,"['problem', 'CALCULATING', 'GROUP', 'SCORES', 'ON', 'NORM‐REFERENCED', 'test']","['problem', 'calculating', 'group', 'scores', 'on', 'norm‐referenced', 'test']",problem calculating group scores on norm‐referenced test
Mandeville G.K.,School Effectiveness Indices Revisited: Cross‐Year Stability,1988,25,"['School', 'Effectiveness', 'Indices', 'revisit', 'cross‐year', 'Stability']","['school', 'effectiveness', 'indices', 'revisit', 'cross‐year', 'stability']",school effectiveness indices revisit cross‐year stability
Wainer H.; Kiely G.L.,Item Clusters and Computerized Adaptive Testing: A Case for Testlets,1987,24,"['Item', 'Clusters', 'Computerized', 'Adaptive', 'Testing', 'case', 'testlet']","['item', 'clusters', 'computerized', 'adaptive', 'testing', 'case', 'testlet']",item clusters computerized adaptive testing case testlet
MeCornack R.L.; McLeod M.M.,Gender Bias in the Prediction of College Course Performance,1988,25,"['Gender', 'Bias', 'Prediction', 'College', 'Course', 'performance']","['gender', 'bias', 'prediction', 'college', 'course', 'performance']",gender bias prediction college course performance
DORANS N.J.,THE IMPACT OF ITEM DELETION ON EQUATING CONVERSIONS AND REPORTED SCORE DISTRIBUTIONS,1986,23,"['impact', 'ITEM', 'deletion', 'EQUATING', 'conversion', 'report', 'SCORE', 'distribution']","['impact', 'item', 'deletion', 'equating', 'conversion', 'report', 'score', 'distribution']",impact item deletion equating conversion report score distribution
Burket G.R.,Group Scores: A Response to Baglin,1987,24,"['Group', 'Scores', 'A', 'Response', 'Baglin']","['group', 'scores', 'a', 'response', 'baglin']",group scores a response baglin
Albanese M.A.,The Projected Impact of the Correction for Guessing on Individual Scores,1988,25,"['Projected', 'Impact', 'Correction', 'Guessing', 'Individual', 'Scores']","['projected', 'impact', 'correction', 'guessing', 'individual', 'scores']",projected impact correction guessing individual scores
Stiggins R.J.; Griswold M.M.; Wikelund K.R.,Measuring Thinking Skills Through Classroom Assessment,1989,26,"['measure', 'think', 'Skills', 'Classroom', 'Assessment']","['measure', 'think', 'skills', 'classroom', 'assessment']",measure think skills classroom assessment
Crocker L.; Llabre M.; Miller M.D.,The Generalizability of Content Validity Ratings,1988,25,"['Generalizability', 'Content', 'Validity', 'rating']","['generalizability', 'content', 'validity', 'rating']",generalizability content validity rating
Elliott R.; Strenta A.C.,Effects of Improving the Reliability of the GPA on Prediction Generally and on Comparative Predictions for Gender and Race Particularly,1988,25,"['effect', 'improve', 'Reliability', 'GPA', 'Prediction', 'generally', 'Comparative', 'prediction', 'Gender', 'Race', 'particularly']","['effect', 'improve', 'reliability', 'gpa', 'prediction', 'generally', 'comparative', 'prediction', 'gender', 'race', 'particularly']",effect improve reliability gpa prediction generally comparative prediction gender race particularly
WEBB N.M.; HERMAN J.L.; CABELLO B.,DIAGNOSING STUDENTS' ERRORS FROM THEIR RESPONSE SELECTIONS IN LANGUAGE ARTS,1986,23,"['diagnose', 'student', 'errors', 'RESPONSE', 'SELECTIONS', 'LANGUAGE', 'ARTS']","['diagnose', 'student', 'errors', 'response', 'selections', 'language', 'arts']",diagnose student errors response selections language arts
Bennett R.E.; Rock D.A.; Novatkoski I.,Differential Item Functioning on the SAT‐M Braille Edition,1989,26,"['Differential', 'Item', 'Functioning', 'SAT‐M', 'Braille', 'Edition']","['differential', 'item', 'functioning', 'sat‐m', 'braille', 'edition']",differential item functioning sat‐m braille edition
Kane M.T.,On the Use of IRT Models With Judgmental Standard Setting Procedures,1987,24,"['Use', 'IRT', 'Models', 'Judgmental', 'Standard', 'Setting', 'procedure']","['use', 'irt', 'models', 'judgmental', 'standard', 'setting', 'procedure']",use irt models judgmental standard setting procedure
EMBRETSON S.; SCHNEIDER L.M.; ROTH D.L.,MULTIPLE PROCESSING STRATEGIES AND THE CONSTRUCT VALIDITY OF VERBAL REASONING TESTS,1986,23,"['multiple', 'processing', 'strategy', 'CONSTRUCT', 'VALIDITY', 'VERBAL', 'reason', 'test']","['multiple', 'processing', 'strategy', 'construct', 'validity', 'verbal', 'reason', 'test']",multiple processing strategy construct validity verbal reason test
LORD F.M.,MAXIMUM LIKELIHOOD AND BAYESIAN PARAMETER ESTIMATION IN ITEM RESPONSE THEORY,1986,23,"['maximum', 'likelihood', 'BAYESIAN', 'PARAMETER', 'ESTIMATION', 'ITEM', 'RESPONSE', 'THEORY']","['maximum', 'likelihood', 'bayesian', 'parameter', 'estimation', 'item', 'response', 'theory']",maximum likelihood bayesian parameter estimation item response theory
BENTON S.L.; KIEWRA K.A.,MEASURING THE ORGANIZATIONAL ASPECTS OF WRITING ABILITY,1986,23,"['measure', 'organizational', 'ASPECTS', 'write', 'ABILITY']","['measure', 'organizational', 'aspects', 'write', 'ability']",measure organizational aspects write ability
Wilcox R.R.; Wilcox K.T.; Chung J.,A Note on Decisionmaking Processes for Multiple‐Choice Test Items,1988,25,"['note', 'decisionmake', 'Processes', 'Multiple‐Choice', 'Test', 'Items']","['note', 'decisionmake', 'processes', 'multiple‐choice', 'test', 'items']",note decisionmake processes multiple‐choice test items
Braun H.I.,A New Approach to Avoiding Problems of Scale in Interpreting Trends in Mental Measurement Data,1988,25,"['New', 'Approach', 'avoid', 'problem', 'Scale', 'Interpreting', 'Trends', 'Mental', 'Data']","['new', 'approach', 'avoid', 'problem', 'scale', 'interpreting', 'trends', 'mental', 'data']",new approach avoid problem scale interpreting trends mental data
MEHRENS W.A.; PHILLIPS S.E.,DETECTING IMPACTS OF CURRICULAR DIFFERENCES IN ACHIEVEMENT TEST DATA,1986,23,"['detect', 'impact', 'CURRICULAR', 'difference', 'ACHIEVEMENT', 'test', 'DATA']","['detect', 'impact', 'curricular', 'difference', 'achievement', 'test', 'data']",detect impact curricular difference achievement test data
SAWYER R.,USING DEMOGRAPHIC SUBGROUP AND DUMMY VARIABLE EQUATIONS TO PREDICT COLLEGE FRESHMAN GRADE AVERAGE,1986,23,"['DEMOGRAPHIC', 'SUBGROUP', 'dummy', 'VARIABLE', 'equation', 'predict', 'COLLEGE', 'freshman', 'GRADE', 'AVERAGE']","['demographic', 'subgroup', 'dummy', 'variable', 'equation', 'predict', 'college', 'freshman', 'grade', 'average']",demographic subgroup dummy variable equation predict college freshman grade average
Doolittle A.E.; Cleary T.A.,Gender‐Based Differential Item Performance in Mathematics Achievement Items,1987,24,"['gender‐base', 'Differential', 'Item', 'Performance', 'Mathematics', 'Achievement', 'Items']","['gender‐base', 'differential', 'item', 'performance', 'mathematics', 'achievement', 'items']",gender‐base differential item performance mathematics achievement items
Zwick R.; Ercikan K.,Analysis of Differential Item Functioning in the NAEP History Assessment,1989,26,"['analysis', 'Differential', 'Item', 'Functioning', 'NAEP', 'history', 'assessment']","['analysis', 'differential', 'item', 'functioning', 'naep', 'history', 'assessment']",analysis differential item functioning naep history assessment
Bock R.D.; Murakl E.; Pfeiffenberger W.,Item Pool Maintenance in the Presence of Item Parameter Drift,1988,25,"['Item', 'Pool', 'Maintenance', 'Presence', 'Item', 'Parameter', 'Drift']","['item', 'pool', 'maintenance', 'presence', 'item', 'parameter', 'drift']",item pool maintenance presence item parameter drift
Bennett R.E.; Rock D.A.; Kaplan B.A.,SAT Differential Item Performance for Nine Handicapped Groups,1987,24,"['SAT', 'Differential', 'Item', 'Performance', 'Handicapped', 'Groups']","['sat', 'differential', 'item', 'performance', 'handicapped', 'groups']",sat differential item performance handicapped groups
CHASE C.I.,ESSAY TEST SCORING: INTERACTION OF RELEVANT VARIABLES,1986,23,"['essay', 'test', 'SCORING', 'INTERACTION', 'RELEVANT', 'VARIABLES']","['essay', 'test', 'scoring', 'interaction', 'relevant', 'variables']",essay test scoring interaction relevant variables
Albanese M.A.; Sabers D.L.,"Multiple True‐False Items: A Study of Interitem Correlations, Scoring Alternatives, and Reliability Estimation",1988,25,"['multiple', 'true‐false', 'item', 'Study', 'Interitem', 'Correlations', 'Scoring', 'Alternatives', 'Reliability', 'Estimation']","['multiple', 'true‐false', 'item', 'study', 'interitem', 'correlations', 'scoring', 'alternatives', 'reliability', 'estimation']",multiple true‐false item study interitem correlations scoring alternatives reliability estimation
Subkoviak M.J.,A Practitioner's Guide to Computation and Interpretation of Reliability Indices for Mastery Tests,1988,25,"['Practitioners', 'Guide', 'computation', 'Interpretation', 'Reliability', 'Indices', 'Mastery', 'test']","['practitioners', 'guide', 'computation', 'interpretation', 'reliability', 'indices', 'mastery', 'test']",practitioners guide computation interpretation reliability indices mastery test
ANGOFF W.H.; COWELL W.R.,AN EXAMINATION OF THE ASSUMPTION THAT THE EQUATING OF PARALLEL FORMS IS POPULATION‐INDEPENDENT,1986,23,"['examination', 'assumption', 'EQUATING', 'PARALLEL', 'FORMS', 'POPULATION‐INDEPENDENT']","['examination', 'assumption', 'equating', 'parallel', 'forms', 'population‐independent']",examination assumption equating parallel forms population‐independent
Powers D.E.,Who Benefits Most From Preparing for a “Coachable” Admissions Test?,1987,24,"['benefit', 'prepare', '""', 'coachable', '""', 'Admissions', 'Test']","['benefit', 'prepare', '""', 'coachable', '""', 'admissions', 'test']","benefit prepare "" coachable "" admissions test"
Chalifour C.L.; Powers D.E.,The Relationship of Content Characteristics of GRE Analytical Reasoning Items to Their Difficulties and Discriminations,1989,26,"['Relationship', 'Content', 'Characteristics', 'GRE', 'Analytical', 'Reasoning', 'Items', 'difficulty', 'discrimination']","['relationship', 'content', 'characteristics', 'gre', 'analytical', 'reasoning', 'items', 'difficulty', 'discrimination']",relationship content characteristics gre analytical reasoning items difficulty discrimination
Green B.F.; Crone C.R.; Folk V.G.,A Method for Studying Differential Distractor Functioning,1989,26,"['Method', 'study', 'Differential', 'Distractor', 'Functioning']","['method', 'study', 'differential', 'distractor', 'functioning']",method study differential distractor functioning
Kane M.T.; Kingshury C.; Colton D.; Estes C.,Combining Data on Criticality and Frequency in Developing Test Plans for Licensure and Certification Examinations,1989,26,"['combine', 'Data', 'Criticality', 'Frequency', 'develop', 'Test', 'plan', 'Licensure', 'Certification', 'Examinations']","['combine', 'data', 'criticality', 'frequency', 'develop', 'test', 'plan', 'licensure', 'certification', 'examinations']",combine data criticality frequency develop test plan licensure certification examinations
ROWE D.W.,DOES RESEARCH SUPPORT THE USE OF “PURPOSE QUESTIONS” ON READING COMPREHENSION TESTS?,1986,23,"['RESEARCH', 'SUPPORT', '""', 'PURPOSE', 'question', '""', 'read', 'comprehension', 'test']","['research', 'support', '""', 'purpose', 'question', '""', 'read', 'comprehension', 'test']","research support "" purpose question "" read comprehension test"
Tatsuoka K.K.,Validation of Cognitive Sensitivity for Item Response Curves,1987,24,"['validation', 'Cognitive', 'Sensitivity', 'Item', 'Response', 'Curves']","['validation', 'cognitive', 'sensitivity', 'item', 'response', 'curves']",validation cognitive sensitivity item response curves
Powell B.; Steelman L.C.,On State SAT Research: A Response to Wainer,1987,24,"['State', 'SAT', 'Research', 'A', 'Response', 'Wainer']","['state', 'sat', 'research', 'a', 'response', 'wainer']",state sat research a response wainer
Miller M.D.; Linn R.L.,Invariance of Item Characteristic Functions With Variations in Instructional Coverage,1988,25,"['invariance', 'Item', 'Characteristic', 'Functions', 'variation', 'Instructional', 'Coverage']","['invariance', 'item', 'characteristic', 'functions', 'variation', 'instructional', 'coverage']",invariance item characteristic functions variation instructional coverage
Wilcox R.R.; Wilcox K.T.,Models of Decisionmaking Processes for Multiple‐Choice Test Items: An Analysis of Spatial Ability,1988,25,"['decisionmake', 'Processes', 'Multiple‐Choice', 'Test', 'Items', 'Analysis', 'Spatial', 'ability']","['decisionmake', 'processes', 'multiple‐choice', 'test', 'items', 'analysis', 'spatial', 'ability']",decisionmake processes multiple‐choice test items analysis spatial ability
Angoff W.H.,Does Guessing Really Help?,1989,26,"['guess', 'help']","['guess', 'help']",guess help
WAINER H.,FIVE PITFALLS ENCOUNTERED WHILE TRYING TO COMPARE STATES ON THEIR SAT SCORES,1986,23,"['pitfall', 'encounter', 'try', 'compare', 'state', 'SAT', 'SCORES']","['pitfall', 'encounter', 'try', 'compare', 'state', 'sat', 'scores']",pitfall encounter try compare state sat scores
Frary R.B.,The Effect of Inappropriate Omissions on Formula Scores: A Simulation Study,1989,26,"['Effect', 'Inappropriate', 'Omissions', 'Formula', 'Scores', 'A', 'Simulation', 'Study']","['effect', 'inappropriate', 'omissions', 'formula', 'scores', 'a', 'simulation', 'study']",effect inappropriate omissions formula scores a simulation study
Willms J.D.; Raudenbush S.W.,A Longitudinal Hierarchical Linear Model for Estimating School Effects and Their Stability,1989,26,"['Longitudinal', 'Hierarchical', 'Linear', 'Estimating', 'School', 'Effects', 'stability']","['longitudinal', 'hierarchical', 'linear', 'estimating', 'school', 'effects', 'stability']",longitudinal hierarchical linear estimating school effects stability
Hirsch T.M.,Multidimensional Equating,1989,26,"['Multidimensional', 'Equating']","['multidimensional', 'equating']",multidimensional equating
Phillips S.E.; Mehrens W.A.,Curricular Differences and Unidimensionality of Achievement Test Data: An Exploratory Analysis,1987,24,"['Curricular', 'Differences', 'Unidimensionality', 'Achievement', 'Test', 'Data', 'An', 'Exploratory', 'Analysis']","['curricular', 'differences', 'unidimensionality', 'achievement', 'test', 'data', 'an', 'exploratory', 'analysis']",curricular differences unidimensionality achievement test data an exploratory analysis
Thissen D.; Steinberg L.; Fitzpatrick A.R.,Multiple‐Choice Models: The Distractors Are Also Part of the Item,1989,26,"['Multiple‐Choice', 'Models', 'distractor', 'item']","['multiple‐choice', 'models', 'distractor', 'item']",multiple‐choice models distractor item
Marsh H.W.,The Hierarchical Structure of Self‐Concept and the Application of Hierarchical Confirmatory Factor Analysis,1987,24,"['Hierarchical', 'Structure', 'self‐concept', 'Application', 'Hierarchical', 'Confirmatory', 'Factor', 'Analysis']","['hierarchical', 'structure', 'self‐concept', 'application', 'hierarchical', 'confirmatory', 'factor', 'analysis']",hierarchical structure self‐concept application hierarchical confirmatory factor analysis
ALBANESE M.A.,THE CORRECTION FOR GUESSING: A FURTHER ANALYSIS OF ANGOFF AND SCHRADER,1986,23,"['CORRECTION', 'guess', 'analysis', 'ANGOFF', 'SCHRADER']","['correction', 'guess', 'analysis', 'angoff', 'schrader']",correction guess analysis angoff schrader
Norcini J.J.; Shea J.A.; Ping J.C.,A Note on the Application of Multiple Matrix Sampling to Standard Setting,1988,25,"['note', 'Application', 'Multiple', 'Matrix', 'Sampling', 'Standard', 'Setting']","['note', 'application', 'multiple', 'matrix', 'sampling', 'standard', 'setting']",note application multiple matrix sampling standard setting
Thissen D.; Steinberg L.; Mooney J.A.,Trace Lines for Testlets: A Use of Multiple‐Categorical‐Response Models,1989,26,"['Trace', 'Lines', 'testlet', 'Use', 'multiple‐categorical‐response']","['trace', 'lines', 'testlet', 'use', 'multiple‐categorical‐response']",trace lines testlet use multiple‐categorical‐response
Masters G.N.,Item Discrimination: When More Is Worse,1988,25,"['Item', 'Discrimination', 'More', 'bad']","['item', 'discrimination', 'more', 'bad']",item discrimination more bad
Klockars A.J.; Yamagishi M.,The Influence of Labels and Positions in Rating Scales,1988,25,"['Influence', 'Labels', 'Positions', 'Rating', 'scale']","['influence', 'labels', 'positions', 'rating', 'scale']",influence labels positions rating scale
Norcini J.J.,The Answer Key as a Source of Error in Examinations for Professionals,1987,24,"['Answer', 'Key', 'source', 'Error', 'Examinations', 'professional']","['answer', 'key', 'source', 'error', 'examinations', 'professional']",answer key source error examinations professional
Roberts D.M.,Limitations of the Score‐Difference Method in Detecting Cheating in Recognition Test Situations,1987,24,"['limitation', 'Score‐Difference', 'Method', 'detect', 'cheating', 'Recognition', 'Test', 'Situations']","['limitation', 'score‐difference', 'method', 'detect', 'cheating', 'recognition', 'test', 'situations']",limitation score‐difference method detect cheating recognition test situations
Mehrens W.A.; Phillips S.E.,Sensitivity of Item Difficulties to Curricular Validity,1987,24,"['sensitivity', 'Item', 'difficulty', 'Curricular', 'Validity']","['sensitivity', 'item', 'difficulty', 'curricular', 'validity']",sensitivity item difficulty curricular validity
Divgi D.R.,Reply to Andrich and Henning,1989,26,"['reply', 'Andrich', 'Henning']","['reply', 'andrich', 'henning']",reply andrich henning
Mandeville G.K.; Anderson L.W.,The Stability of School Effectiveness Indices Across Grade Levels and Subject Areas,1987,24,"['Stability', 'School', 'Effectiveness', 'Indices', 'Across', 'Grade', 'Levels', 'Subject', 'Areas']","['stability', 'school', 'effectiveness', 'indices', 'across', 'grade', 'levels', 'subject', 'areas']",stability school effectiveness indices across grade levels subject areas
ANGOFF W.H.; SCHRADER W.B.,"A REJOINDER TO ALBANESE, “THE CORRECTION FOR GUESSING: A FURTHER ANALYSIS OF ANGOFF AND SCHRADER”",1986,23,"['rejoinder', 'ALBANESE', '""', 'correction', 'guess', 'analysis', 'ANGOFF', 'SCHRADER', '""']","['rejoinder', 'albanese', '""', 'correction', 'guess', 'analysis', 'angoff', 'schrader', '""']","rejoinder albanese "" correction guess analysis angoff schrader """
Wainer H.,The Future of Item Analysis,1989,26,"['Future', 'Item', 'Analysis']","['future', 'item', 'analysis']",future item analysis
Cook L.L.; Eignor D.R.; Taft H.L.,A Comparative Study of the Effects of Recency of Instruction on the Stability of IRT and Conventional Item Parameter Estimates,1988,25,"['comparative', 'study', 'Effects', 'Recency', 'Instruction', 'Stability', 'IRT', 'Conventional', 'Item', 'Parameter', 'estimate']","['comparative', 'study', 'effects', 'recency', 'instruction', 'stability', 'irt', 'conventional', 'item', 'parameter', 'estimate']",comparative study effects recency instruction stability irt conventional item parameter estimate
Seheuneman J.D.,"An Experimental, Exploratory Study of Causes of Bias in Test Items",1987,24,"['Experimental', 'Exploratory', 'Study', 'Causes', 'Bias', 'Test', 'Items']","['experimental', 'exploratory', 'study', 'causes', 'bias', 'test', 'items']",experimental exploratory study causes bias test items
Dorans N.J.; Livingston S.A.,Male‐Female Differences in SAT‐Verbal Ability Among Students of High SAT‐Mathematical Ability,1987,24,"['Male‐Female', 'difference', 'sat‐verbal', 'ability', 'Students', 'high', 'sat‐mathematical', 'ability']","['male‐female', 'difference', 'sat‐verbal', 'ability', 'students', 'high', 'sat‐mathematical', 'ability']",male‐female difference sat‐verbal ability students high sat‐mathematical ability
Shaw D.G.; Huffman M.D.; Haviland M.G.,Grouping Continuous Data in Discrete Intervals: Information Loss and Recovery,1987,24,"['group', 'Continuous', 'Data', 'Discrete', 'Intervals', 'Information', 'Loss', 'Recovery']","['group', 'continuous', 'data', 'discrete', 'intervals', 'information', 'loss', 'recovery']",group continuous data discrete intervals information loss recovery
van den Bergh H.; Eiting M.H.,A Method of Estimating Rater Reliability,1989,26,"['Method', 'Estimating', 'Rater', 'Reliability']","['method', 'estimating', 'rater', 'reliability']",method estimating rater reliability
Norcini J.J.; Shea J.A.; Kanya D.T.,The Effect of Various Factors on Standard Setting,1988,25,"['Effect', 'factor', 'Standard', 'Setting']","['effect', 'factor', 'standard', 'setting']",effect factor standard setting
Birenbaum M.; Tatsuoka K.K.,Effects of “On‐Line” Test Feedback on the Seriousness of Subsequent Errors,1987,24,"['effect', '""', 'on‐line', '""', 'Test', 'Feedback', 'Seriousness', 'Subsequent', 'error']","['effect', '""', 'on‐line', '""', 'test', 'feedback', 'seriousness', 'subsequent', 'error']","effect "" on‐line "" test feedback seriousness subsequent error"
HANSON R.A.; MCMORRIS R.F.; BAILEY J.D.,DIFFERENCES IN INSTRUCTIONAL SENSITIVITY BETWEEN ITEM FORMATS AND BETWEEN ACHIEVEMENT TEST ITEMS,1986,23,"['difference', 'INSTRUCTIONAL', 'SENSITIVITY', 'ITEM', 'FORMATS', 'ACHIEVEMENT', 'TEST', 'ITEMS']","['difference', 'instructional', 'sensitivity', 'item', 'formats', 'achievement', 'test', 'items']",difference instructional sensitivity item formats achievement test items
