Authors,Title,Year,Volume,T_tokens_,T_tokens,T_tokens_join
LORD F.M.,OPTIMAL NUMBER OF CHOICES PER ITEM— A COMPARISON OF FOUR APPROACHES,1977,14,"['optimal', 'number', 'choices', 'ITEM', '—', 'comparison', 'APPROACHES']","['optimal', 'number', 'choices', 'item', '—', 'comparison', 'approaches']",optimal number choices item — comparison approaches
HALADYNA T.; THOMAS G.,THE AFFECTIVE REPORTING SYSTEM,1979,16,"['AFFECTIVE', 'reporting', 'system']","['affective', 'reporting', 'system']",affective reporting system
MARCO G.L.,ITEM CHARACTERISTIC CURVE SOLUTIONS TO THREE INTRACTABLE TESTING PROBLEMS,1977,14,"['ITEM', 'CHARACTERISTIC', 'CURVE', 'solution', 'intractable', 'testing', 'problems']","['item', 'characteristic', 'curve', 'solution', 'intractable', 'testing', 'problems']",item characteristic curve solution intractable testing problems
KANE M.T.; GILLMORE G.M.; CROOKS T.J.,STUDENT EVALUATIONS OF TEACHING: THE GENERALIZABILITY OF CLASS MEANS,1976,13,"['student', 'evaluation', 'teach', 'GENERALIZABILITY', 'class', 'mean']","['student', 'evaluation', 'teach', 'generalizability', 'class', 'mean']",student evaluation teach generalizability class mean
RESCHLY D.J.; SABERS D.L.,ANALYSIS OF TEST BIAS IN FOUR GROUPS WITH THE REGRESSION DEFINITION,1979,16,"['ANALYSIS', 'test', 'BIAS', 'GROUPS', 'regression', 'definition']","['analysis', 'test', 'bias', 'groups', 'regression', 'definition']",analysis test bias groups regression definition
OOSTERHOF A.C.,SIMILARITY OF VARIOUS ITEM DISCRIMINATION INDICES,1976,13,"['SIMILARITY', 'ITEM', 'discrimination', 'index']","['similarity', 'item', 'discrimination', 'index']",similarity item discrimination index
HUMPHREYS L.G.; STUBBS J.,"A LONGITUDINAL ANALYSIS OF TEACHER EXPECTATION, STUDENT EXPECTATION, AND STUDENT ACHIEVEMENT",1977,14,"['LONGITUDINAL', 'analysis', 'teacher', 'EXPECTATION', 'student', 'EXPECTATION', 'student', 'achievement']","['longitudinal', 'analysis', 'teacher', 'expectation', 'student', 'expectation', 'student', 'achievement']",longitudinal analysis teacher expectation student expectation student achievement
LEWIS W.A.; DEXTER H.G.; SMITH W.C.,GRADING PROCEDURES AND TEST VALIDATION: A PROPOSED NEW APPROACH,1978,15,"['GRADING', 'PROCEDURES', 'test', 'validation', 'propose', 'new', 'approach']","['grading', 'procedures', 'test', 'validation', 'propose', 'new', 'approach']",grading procedures test validation propose new approach
WRIGHT B.D.,MISUNDERSTANDING THE RASCH MODEL,1977,14,"['MISUNDERSTANDING', 'RASCH', 'MODEL']","['misunderstanding', 'rasch', 'model']",misunderstanding rasch model
OLSON M.A.,AN APPLICATION OF MATRIX SAMPLING TO THE METHOD OF PAIR COMPARISONS,1978,15,"['application', 'matrix', 'sampling', 'METHOD', 'PAIR', 'comparison']","['application', 'matrix', 'sampling', 'method', 'pair', 'comparison']",application matrix sampling method pair comparison
SCHMEISER C.B.; FERGUSON R.L.,PERFORMANCE OF BLACK AND WHITE STUDENTS ON TEST MATERIALS CONTAINING CONTENT BASED ON BLACK AND WHITE CULTURES,1978,15,"['performance', 'BLACK', 'white', 'student', 'test', 'materials', 'contain', 'CONTENT', 'BASED', 'BLACK', 'WHITE', 'CULTURES']","['performance', 'black', 'white', 'student', 'test', 'materials', 'contain', 'content', 'based', 'black', 'white', 'cultures']",performance black white student test materials contain content based black white cultures
STRANG H.R.,THE EFFECTS OF TECHNICAL AND UNFAMILIAR OPTIONS ON GUESSING ON MULTIPLE‐CHOICE TEST ITEMS,1977,14,"['effect', 'TECHNICAL', 'UNFAMILIAR', 'option', 'ON', 'GUESSING', 'ON', 'MULTIPLE‐CHOICE', 'test', 'ITEMS']","['effect', 'technical', 'unfamiliar', 'option', 'on', 'guessing', 'on', 'multiple‐choice', 'test', 'items']",effect technical unfamiliar option on guessing on multiple‐choice test items
LORD F.M.,PRACTICAL APPLICATIONS OF ITEM CHARACTERISTIC CURVE THEORY,1977,14,"['PRACTICAL', 'application', 'ITEM', 'CHARACTERISTIC', 'CURVE', 'theory']","['practical', 'application', 'item', 'characteristic', 'curve', 'theory']",practical application item characteristic curve theory
"SMITH M., III; WHITE K.P.; COOP R.H.",THE EFFECT OF ITEM TYPE ON THE CONSEQUENCES OF CHANGING ANSWERS ON MULTIPLE CHOICE TESTS,1979,16,"['effect', 'ITEM', 'TYPE', 'consequences', 'change', 'answer', 'multiple', 'choice', 'test']","['effect', 'item', 'type', 'consequences', 'change', 'answer', 'multiple', 'choice', 'test']",effect item type consequences change answer multiple choice test
"ROGERS W.T.; FOLSOM R.E., JR.; KALSBEEK W.D.; CLEMMER A.F.",ASSESSMENT OF NONRESPONSE BIAS IN SAMPLE SURVEYS. AN EXAMPLE FROM NATIONAL ASSESSMENT,1977,14,"['assessment', 'NONRESPONSE', 'BIAS', 'SAMPLE', 'surveys', 'example', 'NATIONAL', 'assessment']","['assessment', 'nonresponse', 'bias', 'sample', 'surveys', 'example', 'national', 'assessment']",assessment nonresponse bias sample surveys example national assessment
LINN M.C.; RICE M.,A MEASURE OF SCIENTIFIC REASONING: THE SPRINGS TASK,1979,16,"['measure', 'SCIENTIFIC', 'reason', 'SPRINGS', 'TASK']","['measure', 'scientific', 'reason', 'springs', 'task']",measure scientific reason springs task
POPHAM W.J.,"AS ALWAYS, PROVOCATIVE",1978,15,"['ALWAYS', 'provocative']","['always', 'provocative']",always provocative
BRELAND H.M.; GAYNOR J.L.,A COMPARISON OF DIRECT AND INDIRECT ASSESSMENTS OF WRITING SKILL,1979,16,"['comparison', 'DIRECT', 'indirect', 'assessment', 'write', 'SKILL']","['comparison', 'direct', 'indirect', 'assessment', 'write', 'skill']",comparison direct indirect assessment write skill
LEVIN H.M.,EDUCATIONAL PERFORMANCE STANDARDS: IMAGE OR SUBSTANCE?,1978,15,"['EDUCATIONAL', 'performance', 'STANDARDS', 'image', 'substance']","['educational', 'performance', 'standards', 'image', 'substance']",educational performance standards image substance
SUBKOVIAK M.J.,EMPIRICAL INVESTIGATION OF PROCEDURES FOR ESTIMATING RELIABILITY FOR MASTERY TESTS,1978,15,"['EMPIRICAL', 'investigation', 'PROCEDURES', 'estimate', 'RELIABILITY', 'MASTERY', 'test']","['empirical', 'investigation', 'procedures', 'estimate', 'reliability', 'mastery', 'test']",empirical investigation procedures estimate reliability mastery test
WOOD R.,INHIBITING BLIND GUESSING: THE EFFECT OF INSTRUCTIONS,1976,13,"['inhibit', 'BLIND', 'guess', 'effect', 'instruction']","['inhibit', 'blind', 'guess', 'effect', 'instruction']",inhibit blind guess effect instruction
GLASS G.V.,STANDARDS AND CRITERIA,1978,15,"['STANDARDS', 'CRITERIA']","['standards', 'criteria']",standards criteria
ERLICH O.; SHAVELSON R.J.,"THE SEARCH FOR CORRELATIONS BETWEEN MEASURES OF TEACHER BEHAVIOR AND STUDENT ACHIEVEMENT: MEASUREMENT PROBLEM, CONCEPTUALIZATION PROBLEM, OR BOTH?",1978,15,"['SEARCH', 'correlation', 'MEASURES', 'teacher', 'behavior', 'student', 'ACHIEVEMENT', 'MEASUREMENT', 'problem', 'conceptualization', 'problem', 'OR']","['search', 'correlation', 'measures', 'teacher', 'behavior', 'student', 'achievement', 'measurement', 'problem', 'conceptualization', 'problem', 'or']",search correlation measures teacher behavior student achievement measurement problem conceptualization problem or
URRY V.W.,TAILORED TESTING: A SUCCESSFUL APPLICATION OF LATENT TRAIT THEORY,1977,14,"['tailor', 'test', 'SUCCESSFUL', 'application', 'LATENT', 'TRAIT', 'THEORY']","['tailor', 'test', 'successful', 'application', 'latent', 'trait', 'theory']",tailor test successful application latent trait theory
CHASE C.I.,THE IMPACT OF ACHIEVEMENT EXPECTATIONS AND HANDWRITING QUALITY ON SCORING ESSAY TESTS,1979,16,"['impact', 'ACHIEVEMENT', 'expectation', 'handwriting', 'QUALITY', 'ON', 'scoring', 'ESSAY', 'test']","['impact', 'achievement', 'expectation', 'handwriting', 'quality', 'on', 'scoring', 'essay', 'test']",impact achievement expectation handwriting quality on scoring essay test
REMER R.,THREE MODES OF STIMULUS PRESENTATION IN A SIMULATION TEST OF INTERPERSONAL COMMUNICATION COMPETENCE,1978,15,"['MODES', 'STIMULUS', 'presentation', 'simulation', 'test', 'INTERPERSONAL', 'communication', 'competence']","['modes', 'stimulus', 'presentation', 'simulation', 'test', 'interpersonal', 'communication', 'competence']",modes stimulus presentation simulation test interpersonal communication competence
IRONSON G.H.; SUBKOVIAK M.J.,A COMPARISON OF SEVERAL METHODS OF ASSESSING ITEM BIAS,1979,16,"['comparison', 'methods', 'assess', 'ITEM', 'BIAS']","['comparison', 'methods', 'assess', 'item', 'bias']",comparison methods assess item bias
LOMAX R.G.; ALGINA J.,COMPARISON OF TWO PROCEDURES FOR ANALYZING MULTITRAIT MULTIMETHOD MATRICES,1979,16,"['comparison', 'PROCEDURES', 'ANALYZING', 'MULTITRAIT', 'MULTIMETHOD', 'MATRICES']","['comparison', 'procedures', 'analyzing', 'multitrait', 'multimethod', 'matrices']",comparison procedures analyzing multitrait multimethod matrices
PREDIGER D.J.; HANSON G.R.,SOME CONSEQUENCES OF USING RAW‐SCORE REPORTS OF VOCATIONAL INTERESTS,1977,14,"['consequences', 'raw‐score', 'REPORTS', 'VOCATIONAL', 'INTERESTS']","['consequences', 'raw‐score', 'reports', 'vocational', 'interests']",consequences raw‐score reports vocational interests
HAMBLETON R.K.; COOK L.L.,LATENT TRAIT MODELS AND THEIR USE IN THE ANALYSIS OF EDUCATIONAL TEST DATA,1977,14,"['LATENT', 'TRAIT', 'MODELS', 'analysis', 'EDUCATIONAL', 'test', 'datum']","['latent', 'trait', 'models', 'analysis', 'educational', 'test', 'datum']",latent trait models analysis educational test datum
FRISBIE D.A.; BRANDENBURG D.C.,EQUIVALENCE OF QUESTIONNAIRE ITEMS WITH VARYING RESPONSE FORMATS,1979,16,"['equivalence', 'questionnaire', 'items', 'varying', 'RESPONSE', 'FORMATS']","['equivalence', 'questionnaire', 'items', 'varying', 'response', 'formats']",equivalence questionnaire items varying response formats
DIAMOND J.J.; AYRER J.; FISHMAN R.; GREEN P.,ARE INNER CITY CHILDREN TEST‐WISE?,1977,14,"['inner', 'CITY', 'CHILDREN', 'TEST‐WISE']","['inner', 'city', 'children', 'test‐wise']",inner city children test‐wise
HEWITT B.N.; JACOBS R.,STUDENT PERCEPTIONS OF GRADING PRACTICES IN DIFFERENT MAJOR FIELDS,1978,15,"['student', 'perception', 'GRADING', 'practice', 'different', 'major', 'fields']","['student', 'perception', 'grading', 'practice', 'different', 'major', 'fields']",student perception grading practice different major fields
RENTZ R.R.; BASHAW W.L.,THE NATIONAL REFERENCE SCALE FOR READING: AN APPLICATION OF THE RASCH MODEL,1977,14,"['NATIONAL', 'REFERENCE', 'SCALE', 'read', 'application', 'RASCH', 'MODEL']","['national', 'reference', 'scale', 'read', 'application', 'rasch', 'model']",national reference scale read application rasch model
CALLENDER J.C.; OSBURN H.G.,"AN EMPIRICAL COMPARISON OF COEFFICIENT ALPHA, GUTTMAN'S LAMBDA ‐ 2, AND MSPLIT MAXIMIZED SPLIT‐HALF RELIABILITY ESTIMATES",1979,16,"['EMPIRICAL', 'comparison', 'COEFFICIENT', 'alpha', 'guttman', 'lambda', '‐', '2', 'MSPLIT', 'MAXIMIZED', 'SPLIT‐HALF', 'RELIABILITY', 'estimate']","['empirical', 'comparison', 'coefficient', 'alpha', 'guttman', 'lambda', '‐', '2', 'msplit', 'maximized', 'split‐half', 'reliability', 'estimate']",empirical comparison coefficient alpha guttman lambda ‐ 2 msplit maximized split‐half reliability estimate
KOLEN M.J.; WHITNEY D.R.,METHODS OF SMOOTHING DOUBLE‐ENTRY EXPECTANCY TABLES APPLIED TO THE PREDICTION OF SUCCESS IN COLLEGE,1978,15,"['METHODS', 'SMOOTHING', 'double‐entry', 'EXPECTANCY', 'tables', 'APPLIED', 'prediction', 'SUCCESS', 'COLLEGE']","['methods', 'smoothing', 'double‐entry', 'expectancy', 'tables', 'applied', 'prediction', 'success', 'college']",methods smoothing double‐entry expectancy tables applied prediction success college
KHAN S.B.,A COMPARATIVE STUDY OF ASSESSING CHILDREN'S SCHOOL‐RELATED ATTITUDES,1978,15,"['comparative', 'study', 'assess', 'CHILDRENS', 'SCHOOL‐RELATED', 'ATTITUDES']","['comparative', 'study', 'assess', 'childrens', 'school‐related', 'attitudes']",comparative study assess childrens school‐related attitudes
BURTON N.W.,SOCIETAL STANDARDS,1978,15,"['societal', 'standard']","['societal', 'standard']",societal standard
NOVICK M.R.; LINDLEY D.V.,THE USE OF MORE REALISTIC UTILITY FUNCTIONS IN EDUCATIONAL APPLICATIONS,1978,15,"['MORE', 'REALISTIC', 'UTILITY', 'FUNCTIONS', 'EDUCATIONAL', 'application']","['more', 'realistic', 'utility', 'functions', 'educational', 'application']",more realistic utility functions educational application
HANNA G.S.,A STUDY OF RELIABILITY AND VALIDITY EFFECTS OF TOTAL AND PARTIAL IMMEDIATE FEEDBACK IN MULTIPLE‐CHOICE TESTING,1977,14,"['study', 'RELIABILITY', 'validity', 'effect', 'total', 'partial', 'IMMEDIATE', 'FEEDBACK', 'multiple‐choice', 'testing']","['study', 'reliability', 'validity', 'effect', 'total', 'partial', 'immediate', 'feedback', 'multiple‐choice', 'testing']",study reliability validity effect total partial immediate feedback multiple‐choice testing
SCHEUNEMAN J.,A METHOD OF ASSESSING BIAS IN TEST ITEMS,1979,16,"['METHOD', 'assess', 'BIAS', 'test', 'ITEMS']","['method', 'assess', 'bias', 'test', 'items']",method assess bias test items
RAKOW E.A.; AIRASIAN P.W.; MADAUS G.F.,ASSESSING SCHOOL AND PROGRAM EFFECTIVENESS: ESTIMATING TEACHER LEVEL EFFECTS,1978,15,"['assess', 'SCHOOL', 'PROGRAM', 'EFFECTIVENESS', 'ESTIMATING', 'teacher', 'level', 'effect']","['assess', 'school', 'program', 'effectiveness', 'estimating', 'teacher', 'level', 'effect']",assess school program effectiveness estimating teacher level effect
SEDERE M.U.; FELDT L.S.,"THE SAMPLING DISTRIBUTIONS OF THE KRISTOF RELIABILITY COEFFICIENT, THE FELDT COEFFICIENT, AND GUTTMAN'S LAMBDA‐2",1977,14,"['sampling', 'distribution', 'KRISTOF', 'RELIABILITY', 'coefficient', 'FELDT', 'COEFFICIENT', 'guttman', 'LAMBDA‐2']","['sampling', 'distribution', 'kristof', 'reliability', 'coefficient', 'feldt', 'coefficient', 'guttman', 'lambda‐2']",sampling distribution kristof reliability coefficient feldt coefficient guttman lambda‐2
CRONBACH L.J.,EQUITY IN SELECTION—WHERE PSYCHOMETRICS AND POLITICAL PHILOSOPHY MEET,1976,13,"['EQUITY', 'SELECTION', '—', 'PSYCHOMETRICS', 'POLITICAL', 'philosophy', 'MEET']","['equity', 'selection', '—', 'psychometrics', 'political', 'philosophy', 'meet']",equity selection — psychometrics political philosophy meet
SLINDE J.A.; LINN R.L.,AN EXPLORATION OF THE ADEQUACY OF THE RASCH MODEL FOR THE PROBLEM OF VERTICAL EQUATING,1978,15,"['exploration', 'ADEQUACY', 'RASCH', 'problem', 'VERTICAL', 'equating']","['exploration', 'adequacy', 'rasch', 'problem', 'vertical', 'equating']",exploration adequacy rasch problem vertical equating
CONKLIN J.E.; BURSTEIN L.; KEESLING J.W.,THE EFFECTS OF DATE OF TESTING AND METHOD OF INTERPOLATION ON THE USE OF STANDARDIZED TEST SCORES IN THE EVALUATION OF LARGE‐SCALE EDUCATIONAL PROGRAMS,1979,16,"['effect', 'date', 'testing', 'METHOD', 'interpolation', 'USE', 'standardized', 'test', 'SCORES', 'evaluation', 'LARGE‐SCALE', 'EDUCATIONAL', 'PROGRAMS']","['effect', 'date', 'testing', 'method', 'interpolation', 'use', 'standardized', 'test', 'scores', 'evaluation', 'large‐scale', 'educational', 'programs']",effect date testing method interpolation use standardized test scores evaluation large‐scale educational programs
THORNDIKE R.L.,CAUSATION OF BINET IQ DECREMENTS,1977,14,"['causation', 'BINET', 'iq', 'decrement']","['causation', 'binet', 'iq', 'decrement']",causation binet iq decrement
CROSS L.H.; FRARY R.B.,AN EMPIRICAL TEST OF LORD'S THEORETICAL RESULTS REGARDING FORMULA SCORING OF MULTIPLE‐CHOICE TESTS,1977,14,"['EMPIRICAL', 'test', 'lords', 'theoretical', 'result', 'regard', 'formula', 'scoring', 'multiple‐choice', 'test']","['empirical', 'test', 'lords', 'theoretical', 'result', 'regard', 'formula', 'scoring', 'multiple‐choice', 'test']",empirical test lords theoretical result regard formula scoring multiple‐choice test
GOLDMAN R.D.; WIDAWSKI M.H.,AN ANALYSIS OF TYPES OF ERRORS IN THE SELECTION OF MINORITY COLLEGE STUDENTS,1976,13,"['analysis', 'type', 'errors', 'selection', 'minority', 'COLLEGE', 'student']","['analysis', 'type', 'errors', 'selection', 'minority', 'college', 'student']",analysis type errors selection minority college student
MUELLER D.J.; WASSER V.,IMPLICATIONS OF CHANGING ANSWERS ON OBJECTIVE TEST ITEMS,1977,14,"['implication', 'change', 'answer', 'objective', 'test', 'ITEMS']","['implication', 'change', 'answer', 'objective', 'test', 'items']",implication change answer objective test items
KNAPP T.R.,THE RELIABILITY OF A DICHOTOMOUS TEST‐ITEM: A “CORRELATIONLESS” APPROACH,1977,14,"['RELIABILITY', 'dichotomous', 'TEST‐ITEM', '""', 'CORRELATIONLESS', '""', 'approach']","['reliability', 'dichotomous', 'test‐item', '""', 'correlationless', '""', 'approach']","reliability dichotomous test‐item "" correlationless "" approach"
BEJAR I.I.; DOYLE K.O.,THE EFFECT OF PRIOR EXPECTATIONS ON THE STRUCTURE OF STUDENT RATINGS OF INSTRUCTION,1976,13,"['effect', 'PRIOR', 'expectation', 'structure', 'student', 'RATINGS', 'instruction']","['effect', 'prior', 'expectation', 'structure', 'student', 'ratings', 'instruction']",effect prior expectation structure student ratings instruction
LIVINGSTON S.A.; WINGERSKY M.S.,ASSESSING THE RELIABILITY OF TESTS USED TO MAKE PASS/FAIL DECISIONS,1979,16,"['assess', 'RELIABILITY', 'test', 'passfail', 'decision']","['assess', 'reliability', 'test', 'passfail', 'decision']",assess reliability test passfail decision
TUCKMAN B.W.,THE TUCKMAN TEACHER FEEDBACK FORM (TTFF),1976,13,"['tuckman', 'teacher', 'feedback', 'form', 'TTFF']","['tuckman', 'teacher', 'feedback', 'form', 'ttff']",tuckman teacher feedback form ttff
SCRIVEN M.,HOW TO ANCHOR STANDARDS,1978,15,"['anchor', 'standard']","['anchor', 'standard']",anchor standard
HAMBLETON R.K.,ON THE USE OF CUT‐OFF SCORES WITH CRITERION‐REFERENCED TESTS IN INSTRUCTIONAL SETTINGS,1978,15,"['USE', 'cut‐off', 'score', 'criterion‐referenced', 'test', 'instructional', 'setting']","['use', 'cut‐off', 'score', 'criterion‐referenced', 'test', 'instructional', 'setting']",use cut‐off score criterion‐referenced test instructional setting
TERWILLIGER J.S.; LELE K.,"SOME RELATIONSHIPS AMONG INTERNAL CONSISTENCY, REPRODUCIBILITY, AND HOMOGENEITY",1979,16,"['relationship', 'INTERNAL', 'CONSISTENCY', 'REPRODUCIBILITY', 'homogeneity']","['relationship', 'internal', 'consistency', 'reproducibility', 'homogeneity']",relationship internal consistency reproducibility homogeneity
BAJTELSMIT J.W.,TEST‐WISENESS AND SYSTEMATIC DESENSITIZATION PROGRAMS FOR INCREASING ADULT TEST‐TAKING SKILLS,1977,14,"['TEST‐WISENESS', 'SYSTEMATIC', 'DESENSITIZATION', 'PROGRAMS', 'increase', 'adult', 'test‐taking', 'SKILLS']","['test‐wiseness', 'systematic', 'desensitization', 'programs', 'increase', 'adult', 'test‐taking', 'skills']",test‐wiseness systematic desensitization programs increase adult test‐taking skills
RINDLER S.E.,PITFALLS IN ASSESSING TEST SPEEDEDNESS,1979,16,"['pitfall', 'assess', 'TEST', 'SPEEDEDNESS']","['pitfall', 'assess', 'test', 'speededness']",pitfall assess test speededness
SUBKOVIAK M.J.; LEVIN J.R.,FALLIBILITY OF MEASUREMENT AND THE POWER OF A STATISTICAL TEST,1977,14,"['FALLIBILITY', 'power', 'statistical', 'test']","['fallibility', 'power', 'statistical', 'test']",fallibility power statistical test
ROWLEY G.,THE RELATIONSHIP OF RELIABILITY IN CLASSROOM RESEARCH TO THE AMOUNT OF OBSERVATION: AN EXTENSION OF THE SPEARMAN‐BROWN FORMULA,1978,15,"['RELATIONSHIP', 'RELIABILITY', 'CLASSROOM', 'RESEARCH', 'observation', 'extension', 'SPEARMAN‐BROWN', 'formula']","['relationship', 'reliability', 'classroom', 'research', 'observation', 'extension', 'spearman‐brown', 'formula']",relationship reliability classroom research observation extension spearman‐brown formula
CARLSON J.S.; DILLON R.,EFFECTS OF TESTING CONDITIONS ON PIAGET MATRICES AND ORDER OF APPEARANCE PROBLEMS: A STUDY OF COMPETENCE VERSUS PERFORMANCE,1979,16,"['effect', 'testing', 'condition', 'piaget', 'matrix', 'ORDER', 'appearance', 'problems', 'study', 'competence', 'versus', 'performance']","['effect', 'testing', 'condition', 'piaget', 'matrix', 'order', 'appearance', 'problems', 'study', 'competence', 'versus', 'performance']",effect testing condition piaget matrix order appearance problems study competence versus performance
PLAKE B.S.; HOOVER H.D.,THE COMPARABILITY OF EQUAL RAW SCORES OBTAINED FROM IN‐LEVEL AND OUT‐OF‐LEVEL TESTING: ONE SOURCE OF THE DISCREPANCY BETWEEN IN‐LEVEL AND OUT‐OF‐LEVEL GRADE EQUIVALENT SCORES,1979,16,"['COMPARABILITY', 'EQUAL', 'raw', 'scores', 'obtain', 'in‐level', 'out‐of‐level', 'test', 'source', 'DISCREPANCY', 'in‐level', 'out‐of‐level', 'GRADE', 'EQUIVALENT', 'scores']","['comparability', 'equal', 'raw', 'scores', 'obtain', 'in‐level', 'out‐of‐level', 'test', 'source', 'discrepancy', 'in‐level', 'out‐of‐level', 'grade', 'equivalent', 'scores']",comparability equal raw scores obtain in‐level out‐of‐level test source discrepancy in‐level out‐of‐level grade equivalent scores
