Authors,Title,Year,Volume,Abstract,T_tokens_,T_tokens,T_tokens_join
Gerasimova D.,Argument-Based Approach to Validity: Developing a Living Document and Incorporating Preregistration,2024,61.0,"I propose two practical advances to the argument-based approach to validity: developing a living document and incorporating preregistration. First, I present a potential structure for the living document that includes an up-to-date summary of the validity argument. As the validation process may span across multiple studies, the living document allows future users of the instrument to access the entire validity argument in one place. Second, I describe how preregistration can be incorporated in the argument-based approach. Specifically, I distinguish between two types of preregistration: preregistration of the argument and preregistration of validation studies. Preregistration of the argument is a single preregistration that is specified for the entire validation process. Here, the developer specifies interpretations, uses, and claims before collecting validity evidence. Preregistration of a validation study refers to preregistering a single validation study that aims to evaluate a set of claims. Here, the developer describes study components (e.g., research design, data collection, data analysis, etc.), before collecting data. Both preregistration types have the potential to reduce the risk of bias (e.g., hindsight and confirmation biases), as well as to allow others to evaluate the risk of bias and, hence, calibrate confidence, in the developer's evaluation of the validity argument. © 2024 by the National Council on Measurement in Education.","['ArgumentBased', 'Approach', 'Validity', 'develop', 'Living', 'Document', 'incorporate', 'Preregistration']","['argumentbased', 'approach', 'validity', 'develop', 'living', 'document', 'incorporate', 'preregistration']",argumentbased approach validity develop living document incorporate preregistration
Fu J.; Tan X.; Kyllonen P.C.,Information Functions of Rank-2PL Models for Forced-Choice Questionnaires,2024,61.0,"This paper presents the item and test information functions of the Rank two-parameter logistic models (Rank-2PLM) for items with two (pair) and three (triplet) statements in forced-choice questionnaires. The Rank-2PLM model for pairs is the MUPP-2PLM (Multi-Unidimensional Pairwise Preference) and, for triplets, is the Triplet-2PLM. Fisher's information and directional information are described, and the test information for Maximum Likelihood (ML), Maximum A Posterior (MAP), and Expected A Posterior (EAP) trait score estimates is distinguished. Expected item/test information indexes at various levels are proposed and plotted to provide diagnostic information on items and tests. The expected test information indexes for EAP scores may be difficult to compute due to a typical test's vast number of item response patterns. The relationships of item/test information with discrimination parameters of statements, standard error, and reliability estimates of trait score estimates are discussed and demonstrated using real data. Practical suggestions for checking the various expected item/test information indexes and plots are provided. © 2023 by the National Council on Measurement in Education.","['Information', 'Functions', 'Rank2PL', 'Models', 'ForcedChoice', 'Questionnaires']","['information', 'functions', 'rank2pl', 'models', 'forcedchoice', 'questionnaires']",information functions rank2pl models forcedchoice questionnaires
Castellano K.E.; McCaffrey D.F.; Lockwood J.R.,An Exploration of an Improved Aggregate Student Growth Measure Using Data from Two States,2023,60.0,"The simple average of student growth scores is often used in accountability systems, but it can be problematic for decision making. When computed using a small/moderate number of students, it can be sensitive to the sample, resulting in inaccurate representations of growth of the students, low year-to-year stability, and inequities for low-incidence groups. An alternative designed to address these issues is to use an Empirical Best Linear Prediction (EBLP), which is a weighted average of growth score data from other years and/or subjects. We apply both approaches to two statewide datasets to answer empirical questions about their performance. The EBLP outperforms the simple average in accuracy and cross-year stability with the exception that accuracy was not necessarily improved for very large districts in one of the states. In such exceptions, we show a beneficial alternative may be to use a hybrid approach in which very large districts receive the simple average and all others receive the EBLP. We find that adding more growth score data to the computation of the EBLP can improve accuracy, but not necessarily for larger schools/districts. We review key decision points in aggregate growth reporting and in specifying an EBLP weighted average in practice. © 2023 by the National Council on Measurement in Education.","['Exploration', 'improved', 'Aggregate', 'Student', 'Growth', 'measure', 'Data', 'state']","['exploration', 'improved', 'aggregate', 'student', 'growth', 'measure', 'data', 'state']",exploration improved aggregate student growth measure data state
Baldwin P.; Clauser B.E.,Historical Perspectives on Score Comparability Issues Raised by Innovations in Testing,2022,59.0,"While score comparability across test forms typically relies on common (or randomly equivalent) examinees or items, innovations in item formats, test delivery, and efforts to extend the range of score interpretation may require a special data collection before examinees or items can be used in this way—or may be incompatible with common examinee or item designs altogether. When comparisons are necessary under these nonroutine conditions, forms still must be connected by something and this article focuses on these form-invariant connective somethings. A conceptual framework for thinking about the problem of score comparability in this way is given followed by a description of three classes of connectives. Examples from the history of innovations in testing are given for each class. © 2022 by the National Council on Measurement in Education.","['historical', 'Perspectives', 'Score', 'Comparability', 'issue', 'raise', 'innovation', 'testing']","['historical', 'perspectives', 'score', 'comparability', 'issue', 'raise', 'innovation', 'testing']",historical perspectives score comparability issue raise innovation testing
Huggins-Manley C.; Raborn A.W.; Jones P.K.; Myers T.,A Nonparametric Composite Group DIF Index for Focal Groups Stemming from Multicategorical Variables,2024,,"The purpose of this study is to develop a nonparametric DIF method that (a) compares focal groups directly to the composite group that will be used to develop the reported test score scale, and (b) allows practitioners to explore for DIF related to focal groups stemming from multicategorical variables that constitute a small proportion of the overall testing population. We propose the nonparametric root expected proportion squared difference (REPSD) index that evaluates the statistical significance of composite group DIF for relatively small focal groups stemming from multicategorical focal variables, with decisions of statistical significance based on quasi-exact p values obtained from Monte Carlo permutations of the DIF statistic under the null distribution. We conduct a simulation to evaluate conditions under which the index produces acceptable Type I error and power rates, as well as an application to a school district assessment. Practitioners can calculate the REPSD index in a freely available package we created in the R environment. © 2024 by the National Council on Measurement in Education.","['Nonparametric', 'Composite', 'Group', 'DIF', 'Index', 'Focal', 'Groups', 'Stemming', 'multicategorical', 'Variables']","['nonparametric', 'composite', 'group', 'dif', 'index', 'focal', 'groups', 'stemming', 'multicategorical', 'variables']",nonparametric composite group dif index focal groups stemming multicategorical variables
Deribo T.; Kroehne U.; Goldhammer F.,Model-Based Treatment of Rapid Guessing,2021,58.0,"The increased availability of time-related information as a result of computer-based assessment has enabled new ways to measure test-taking engagement. One of these ways is to distinguish between solution and rapid guessing behavior. Prior research has recommended response-level filtering to deal with rapid guessing. Response-level filtering can lead to parameter bias if rapid guessing depends on the measured trait or (un-)observed covariates. Therefore, a model based on Mislevy and Wu (1996) was applied to investigate the assumption of ignorable missing data underlying response-level filtering. The model allowed us to investigate different approaches to treating response-level filtered responses in a single framework through model parameterization. The study found that lower-ability test-takers tend to rapidly guess more frequently and are more likely to be unable to solve an item they guessed on, indicating a violation of the assumption of ignorable missing data underlying response-level filtering. Further ability estimation seemed sensitive to different approaches to treating response-level filtered responses. Moreover, model-based approaches exhibited better model fit and higher convergent validity evidence compared to more naïve treatments of rapid guessing. The results illustrate the need to thoroughly investigate the assumptions underlying specific treatments of rapid guessing as well as the need for robust methods. © 2021 by the National Council on Measurement in Education","['ModelBased', 'Treatment', 'Rapid', 'Guessing']","['modelbased', 'treatment', 'rapid', 'guessing']",modelbased treatment rapid guessing
Yuan L.; Huang Y.; Li S.; Chen P.,Online Calibration in Multidimensional Computerized Adaptive Testing with Polytomously Scored Items,2023,60.0,"Online calibration is a key technology for item calibration in computerized adaptive testing (CAT) and has been widely used in various forms of CAT, including unidimensional CAT, multidimensional CAT (MCAT), CAT with polytomously scored items, and cognitive diagnostic CAT. However, as multidimensional and polytomous assessment data become more common, only a few published reports focus on online calibration in MCAT with polytomously scored items (P-MCAT). Therefore, standing on the shoulders of the existing online calibration methods/designs, this study proposes four new P-MCAT online calibration methods and two new P-MCAT online calibration designs and conducts two simulation studies to evaluate their performance under varying conditions (i.e., different calibration sample sizes and correlations between dimensions). Results show that all of the newly proposed methods can accurately recover item parameters, and the adaptive designs outperform the random design in most cases. In the end, this paper provides practical guidance based on simulation results. © 2022 by the National Council on Measurement in Education.","['Online', 'Calibration', 'Multidimensional', 'Computerized', 'Adaptive', 'Testing', 'Polytomously', 'Scored', 'item']","['online', 'calibration', 'multidimensional', 'computerized', 'adaptive', 'testing', 'polytomously', 'scored', 'item']",online calibration multidimensional computerized adaptive testing polytomously scored item
Gong T.; Shuai L.; Mislevy R.J.,Sociocognitive Processes and Item Response Models: A Didactic Example,2024,61.0,"The usual interpretation of the person and task variables in between-persons measurement models such as item response theory (IRT) is as attributes of persons and tasks, respectively. They can be viewed instead as ensemble descriptors of patterns of interactions among persons and situations that arise from sociocognitive complex adaptive system (CASs). This view offers insights for interpreting and using between-persons measurement models and connecting with sociocognitive research. In this article, we use data generated from an agent-based model to illustrate relations between “social” and “cognitive” features of a simple underlying CAS and the variables of an IRT model fit to resulting data. We note how the ideas connect to explanatory item response modeling and briefly comment on implications for score interpretations and uses in practice. © 2023 by the National Council on Measurement in Education.","['Sociocognitive', 'Processes', 'Item', 'Response', 'Models', 'Didactic', 'example']","['sociocognitive', 'processes', 'item', 'response', 'models', 'didactic', 'example']",sociocognitive processes item response models didactic example
Park S.; Kim K.Y.; Lee W.-C.,Estimating Classification Accuracy and Consistency Indices for Multiple Measures with the Simple Structure MIRT Model,2023,60.0,"Multiple measures, such as multiple content domains or multiple types of performance, are used in various testing programs to classify examinees for screening or selection. Despite the popular usages of multiple measures, there is little research on classification consistency and accuracy of multiple measures. Accordingly, this study introduces an approach to estimate classification consistency and accuracy indices for multiple measures under four possible decision rules: (1) complementary, (2) conjunctive, (3) compensatory, and (4) pairwise combinations of the three. The current study uses the IRT-recursive-based approach with the simple-structure multidimensional IRT model (SS-MIRT) to estimate the classification consistency and accuracy for multiple measures. Theoretical formulations of the four decision rules with a binary decision (Pass/Fail) are presented. The estimation procedures are illustrated using an empirical data example based on SS-MIRT. In addition, this study applies the estimation procedures to the unidimensional IRT (UIRT) context, considering that UIRT is practically used more. This application shows that the proposed procedure of classification consistency and accuracy could be used with a UIRT model for individual measures as an alternative method of SS-MIRT. © 2022 by the National Council on Measurement in Education.","['estimate', 'Classification', 'Accuracy', 'Consistency', 'Indices', 'Multiple', 'Measures', 'Simple', 'structure', 'MIRT']","['estimate', 'classification', 'accuracy', 'consistency', 'indices', 'multiple', 'measures', 'simple', 'structure', 'mirt']",estimate classification accuracy consistency indices multiple measures simple structure mirt
Lim H.; Choe E.M.,Detecting Differential Item Functioning in CAT Using IRT Residual DIF Approach,2023,60.0,"The residual differential item functioning (RDIF) detection framework was developed recently under a linear testing context. To explore the potential application of this framework to computerized adaptive testing (CAT), the present study investigated the utility of the RDIFR statistic both as an index for detecting uniform DIF of pretest items in CAT and as a direct measure of the effect size of uniform DIF. Extensive CAT simulations revealed RDIFR to have well-controlled Type I error and slightly higher power to detect uniform DIF compared with CATSIB, especially when pretest items were calibrated using fixed-item parameter calibration. Moreover, RDIFR accurately estimated the amount of uniform DIF irrespective of the presence of impact. Therefore, RDIFR demonstrates its potential as a useful tool for evaluating both the statistical and practical significance of uniform DIF in CAT. © 2023 by the National Council on Measurement in Education.","['detect', 'Differential', 'Item', 'Functioning', 'CAT', 'IRT', 'residual', 'DIF', 'approach']","['detect', 'differential', 'item', 'functioning', 'cat', 'irt', 'residual', 'dif', 'approach']",detect differential item functioning cat irt residual dif approach
Ranger J.; Kuhn J.-T.; Wolgast A.,Robust Estimation of Ability and Mental Speed Employing the Hierarchical Model for Responses and Response Times,2021,58.0,"Van der Linden's hierarchical model for responses and response times can be used in order to infer the ability and mental speed of test takers from their responses and response times in an educational test. A standard approach for this is maximum likelihood estimation. In real-world applications, the data of some test takers might be partly irregular, resulting from rapid guessing or item preknowledge. The maximum likelihood estimator is not robust against contamination with irregular data. In this article, we propose a robust estimator of ability and mental speed. The estimator consists of two steps. In the first step, the mental speed is estimated with the estimator of Gervini and Yohai that ignores outlying response times. In the second step, the ability is estimated with an M-estimator that down weights unusual responses given at unusual response times. This is achieved by combining the hard-rejection weights of Gervini and Yohai with the M-estimator suggested by Croux and Haesbroeck for the logistic regression model. The proposed estimator is consistent, almost as efficient as the maximum likelihood estimator in uncontaminated data and robust in contaminated data. The performance of the estimator is analyzed in a simulation study and an empirical example. © 2020 by the National Council on Measurement in Education","['robust', 'Estimation', 'Ability', 'Mental', 'Speed', 'Employing', 'Hierarchical', 'Responses', 'Response', 'Times']","['robust', 'estimation', 'ability', 'mental', 'speed', 'employing', 'hierarchical', 'responses', 'response', 'times']",robust estimation ability mental speed employing hierarchical responses response times
Tijmstra J.; Bolsinova M.; Liaw Y.-L.; Rutkowski L.; Rutkowski D.,Sensitivity of the RMSD for Detecting Item-Level Misfit in Low-Performing Countries,2020,57.0,"Although the root-mean squared deviation (RMSD) is a popular statistical measure for evaluating country-specific item-level misfit (i.e., differential item functioning [DIF]) in international large-scale assessment, this paper shows that its sensitivity to detect misfit may depend strongly on the proficiency distribution of the considered countries. Specifically, items for which most respondents in a country have a very low (or high) probability of providing a correct answer will rarely be flagged by the RMSD as showing misfit, even if very strong DIF is present. With many international large-scale assessment initiatives moving toward covering a more heterogeneous group of countries, this raises issues for the ability of the RMSD to detect item-level misfit, especially in low-performing countries that are not well-aligned with the overall difficulty level of the test. This may put one at risk of incorrectly assuming measurement invariance to hold, and may also inflate estimated between-country difference in proficiency. The degree to which the RMSD is able to detect DIF in low-performing countries is studied using both an empirical example from PISA 2015 and a simulation study. © 2019 by the National Council on Measurement in Education","['sensitivity', 'RMSD', 'Detecting', 'ItemLevel', 'Misfit', 'LowPerforming', 'country']","['sensitivity', 'rmsd', 'detecting', 'itemlevel', 'misfit', 'lowperforming', 'country']",sensitivity rmsd detecting itemlevel misfit lowperforming country
Henninger M.,A Novel Partial Credit Extension Using Varying Thresholds to Account for Response Tendencies,2021,58.0,"Item Response Theory models with varying thresholds are essential tools to account for unknown types of response tendencies in rating data. However, in order to separate constructs to be measured and response tendencies, specific constraints have to be imposed on varying thresholds and their interrelations. In this article, a multidimensional extension of a Partial Credit Model using a sum-to-zero constraint for varying thresholds is proposed. The new model allows us to flexibly account for response tendencies and to model covariations between varying thresholds that are commonly found in empirical data. The model's ability to estimate different types of response tendencies under various data structures is shown in a simulation study. An illustrative multicountry analysis demonstrates that differences between respondents in terms of their response tendencies exist and can be captured by the new model. Furthermore, it is well suited to account for extreme and mid response styles, but also to accommodate unknown, previously unmodeled, response tendencies. Therewith, the sum-to-zero model can be considered a suitable candidate to examine the types response tendencies in rating data and to account for biases in construct measures due to response tendencies. © 2020 by the National Council on Measurement in Education","['Novel', 'Partial', 'Credit', 'Extension', 'vary', 'Thresholds', 'Account', 'Response', 'tendency']","['novel', 'partial', 'credit', 'extension', 'vary', 'thresholds', 'account', 'response', 'tendency']",novel partial credit extension vary thresholds account response tendency
Chalmers R.P.,A Unified Comparison of IRT-Based Effect Sizes for DIF Investigations,2023,60.0,"Several marginal effect size (ES) statistics suitable for quantifying the magnitude of differential item functioning (DIF) have been proposed in the area of item response theory; for instance, the Differential Functioning of Items and Tests (DFIT) statistics, signed and unsigned item difference in the sample statistics (SIDS, UIDS, NSIDS, and NUIDS), the standardized indices of impact, and the differential response functioning (DRF) statistics. However, the relationship between these proposed statistics has not been fully discussed, particularly with respect to population parameter definitions and recovery performance across independent samples. To address these issues, this article provides a unified presentation of competing DIF ES definitions and estimators, and evaluates the recovery efficacy of these competing estimators using a set of Monte Carlo simulation experiments. Statistical and inferential properties of the estimators are discussed, as well as future areas of research in this model-based area of bias quantification. © 2022 by the National Council on Measurement in Education.","['Unified', 'Comparison', 'IRTBased', 'Effect', 'Sizes', 'DIF', 'investigation']","['unified', 'comparison', 'irtbased', 'effect', 'sizes', 'dif', 'investigation']",unified comparison irtbased effect sizes dif investigation
Lu J.; Wang C.,A Response Time Process Model for Not-Reached and Omitted Items,2020,57.0,"Item nonresponses are prevalent in standardized testing. They happen either when students fail to reach the end of a test due to a time limit or quitting, or when students choose to omit some items strategically. Oftentimes, item nonresponses are nonrandom, and hence, the missing data mechanism needs to be properly modeled. In this paper, we proposed to use an innovative item response time model as a cohesive missing data model to account for the two most common item nonresponses: not-reached items and omitted items. In particular, the new model builds on a behavior process interpretation: a person chooses to skip an item if the required effort exceeds the implicit time the person allocates to the item (Lee & Ying, 2015; Wolf, Smith, & Birnbaum, 1995), whereas a person fails to reach the end of the test due to lack of time. This assumption was verified by analyzing the 2015 PISA computer-based mathematics data. Simulation studies were conducted to further evaluate the performance of the proposed Bayesian estimation algorithm for the new model and to compare the new model with a recently proposed “speed-accuracy + omission” model (Ulitzsch, von Davier, & Pohl, 2019). Results revealed that all model parameters could recover properly, and inadequately accounting for missing data caused biased item and person parameter estimates. © 2020 by the National Council on Measurement in Education","['Response', 'Time', 'Process', 'NotReached', 'Omitted', 'Items']","['response', 'time', 'process', 'notreached', 'omitted', 'items']",response time process notreached omitted items
Liu J.; Becker K.,The Impact of Cheating on Score Comparability via Pool-Based IRT Pre-equating,2022,59.0,"For any testing programs that administer multiple forms across multiple years, maintaining score comparability via equating is essential. With continuous testing and high-stakes results, especially with less secure online administrations, testing programs must consider the potential for cheating on their exams. This study used empirical and simulated data to examine the impact of item exposure and prior knowledge on the estimation of item difficulty and test taker's ability via pool-based IRT preequating. Raw-to-theta transformations were derived from two groups of test takers with and without possible prior knowledge of exposed items, and these were compared to a criterion raw to theta transformation. Results indicated that item exposure has a large impact on item difficulty, not only altering the difficulty of exposed items, but also altering the difficulty of unexposed items. Item exposure makes test takers with prior knowledge appear more able. Further, theta estimation bias for test takers without prior knowledge increases when more test takers with possible prior knowledge are in the calibration population. Score inflation occurs for test takers with and without prior knowledge, especially for those with lower abilities. © 2022 by the National Council on Measurement in Education.","['Impact', 'cheating', 'Score', 'Comparability', 'PoolBased', 'IRT', 'preequate']","['impact', 'cheating', 'score', 'comparability', 'poolbased', 'irt', 'preequate']",impact cheating score comparability poolbased irt preequate
